DateTime,AddedIPs,RemovedIPs
1591185400,0,2
1591192345,0,1
1591194261,1,0
1591196178,1,0
1591198099,1,0
1591203146,4,3
1591206974,0,1
1591208889,1,1
1591210879,1,1
1591212743,2,3
1591214908,2,5
1591216820,1,4
1591218732,1,2
1591220669,0,4
1591222569,1,1
1591224494,1,2
1591228336,1,3
1591230264,1,1
1591232177,0,1
1591234100,0,1
1591236975,1,2
1591241062,1,0
1591244891,0,1
1591246920,1,0
1591256414,0,2
1591260253,2,1
1591264105,1,1
1591269873,0,1
1591271790,1,0
1591277770,1,0
1591281605,1,2
1591285460,0,1
1591289290,1,4
1591295049,0,1
1591296984,0,1
1591298886,0,2
1591301770,3,2
1591303690,1,1
1591305619,0,1
1591309461,0,1
1591311384,3,1
1591313288,1,0
1591315235,0,1
1591317146,3,1
1591320970,1,0
1591322916,1,1
1591326736,2,1
1591328663,1,0
1591330569,1,0
1591332496,1,0
1591334421,0,1
1591336328,1,0
1591338257,3,0
1591342353,1,0
1591344253,1,0
1591346170,0,2
1591348117,2,0
1591350012,0,1
1591357691,0,1
1591359622,1,0
1591361533,1,0
1591365382,0,1
1591367298,2,0
1591370170,1,1
1591375930,1,1
1591379779,1,0
1591381687,1,0
1591383660,3,0
1591387477,0,2
1591389369,6,2
1591395129,1,0
1591397068,2,2
1591399069,2,2
1591400887,1,0
1591402820,0,3
1591406669,1,1
1591408580,0,1
1591411466,3,1
1591413389,0,1
1591415294,1,1
1591417291,1,1
1591419386,0,1
1591424168,2,3
1591426104,2,1
1591429928,0,2
1591433767,2,2
1591438812,1,0
1591444568,0,1
1591449393,1,1
1591451302,1,0
1591453209,0,2
1591455129,0,1
1591460889,1,0
1591462862,1,1
1591466679,0,1
1591468582,0,3
1591470494,1,1
1591472408,1,0
1591474342,2,4
1591476251,0,2
1591480101,3,0
1591482011,1,2
1591483933,0,2
1591485863,0,1
1591487767,0,1
1591492569,0,1
1591496440,0,3
1591502172,0,1
1591504088,0,1
1591506969,3,0
1591510811,0,2
1591512730,0,2
1591514662,2,0
1591518488,2,0
1591520467,1,2
1591524498,3,0
1591526417,1,1
1591528342,1,0
1591530250,1,0
1591532167,2,0
1591534102,0,1
1591537929,0,1
1591541770,18,0
1591546581,0,1
1591550418,1,1
1591556167,1,1
1591558392,0,1
1591560500,0,2
1591566255,1,0
1591568422,1,1
1591579946,1,0
1591591450,1,0
1591597223,1,0
1591599153,1,0
1591601075,2,2
1591605262,0,1
1591607066,1,0
1591608978,1,0
1591610914,0,1
1591612814,0,1
1591614982,0,1
1591616899,0,3
1591622654,1,0
1591624586,1,0
1591628555,0,28
1591630589,1,0
1591636336,1,0
1591638265,0,1
1591642091,1,1
1591644027,1,0
1591645931,1,0
1591651956,0,1
1591653939,0,1
1591655803,1,0
1591657700,1,0
1591661550,1,0
1591665433,1,1
1591673152,1,0
1591674971,1,0
1591676896,1,1
1591684829,0,2
1591686975,2,1
1591688889,2,1
1591690826,1,0
1591694652,1,2
1591696581,1,0
1591709068,1,1
1591710969,0,1
1591715768,3,1
1591721535,2,0
1591723462,2,1
1591727287,2,1
1591730410,0,1
1591732326,0,1
1591736167,1,0
1591738117,1,0
1591740982,1,0
1591742888,1,2
1591744826,1,0
1591746728,1,0
1591748652,0,1
1591752490,0,1
1591755372,3,0
1591759221,0,1
1591761129,0,1
1591763055,0,1
1591764999,2,0
1591766887,1,0
1591770028,1,0
1591771930,2,0
1591773849,0,3
1591775781,0,1
1591777694,4,1
1591780591,0,1
1591782487,0,1
1591784419,1,0
1591786327,1,0
1591792353,1,0
1591794258,0,1
1591796204,1,0
1591800029,1,1
1591801937,2,2
1591803853,2,0
1591807691,0,1
1591809610,1,3
1591813452,1,2
1591815367,1,0
1591817285,1,0
1591824027,1,2
1591825934,14,1
1591829783,0,1
1591831689,1,0
1591834670,1,1
1591838421,1,0
1591842252,2,0
1591846089,1,0
1591848968,3,0
1591851185,0,2
1591853063,1,0
1591854991,1,1
1591856891,9,0
1591858890,1,2
1591860752,2,0
1591862694,0,3
1591864572,1,1
1591870341,0,1
1591872269,1,0
1591879943,2,0
1591881872,0,1
1591883773,1,0
1591885691,1,0
1591888242,1,2
1591890248,0,1
1591894104,2,0
1591896007,1,0
1591897983,1,0
1591899853,1,1
1591903708,1,1
1591906579,2,0
1591912330,0,25
1591916216,1,0
1591918090,1,1
1591920974,0,1
1591922907,1,0
1591924826,1,1
1591926731,1,0
1591928663,0,2
1591930573,1,0
1591932486,1,1
1591934527,0,4
1591936335,1,0
1591940417,1,2
1591942344,0,9
1591944298,2,1
1591946171,1,1
1591948105,0,1
1591951947,0,1
1591957688,1,1
1591962731,1,0
1591966573,0,2
1591971372,0,1
1591973311,0,2
1591979061,0,1
1591980989,1,1
1591982888,0,1
1591985772,2,1
1591987710,1,1
1591989623,0,1
1591991531,2,2
1591995408,1,0
1591999268,1,0
1592003340,1,2
1592005208,1,0
1592008953,0,1
1592010970,0,1
1592012907,0,1
1592014813,1,0
1592016733,0,1
1592018650,0,1
1592022506,0,1
1592024434,1,0
1592026345,0,1
1592028252,2,0
1592030171,1,2
1592032124,1,0
1592034007,1,1
1592039775,1,0
1592043638,0,1
1592045532,1,0
1592047450,1,0
1592049383,0,1
1592051315,1,0
1592058050,2,0
1592059930,1,0
1592063770,3,0
1592065689,3,0
1592068572,2,1
1592070508,0,1
1592072408,1,1
1592074329,1,1
1592076268,1,1
1592078184,0,1
1592080332,3,0
1592082269,0,1
1592084182,0,1
1592088013,1,0
1592089947,0,1
1592091851,0,1
1592101477,0,1
1592103373,1,0
1592109407,1,0
1592111306,0,1
1592115149,0,2
1592117068,0,1
1592118977,0,2
1592120909,1,0
1592122855,1,0
1592124732,2,0
1592126672,0,1
1592128573,1,0
1592132505,1,1
1592134337,1,1
1592136504,0,1
1592143002,1,0
1592144895,0,2
1592147770,2,1
1592149747,0,2
1592151617,0,4
1592153535,0,1
1592155471,0,1
1592157399,0,1
1592161428,1,1
1592163382,3,1
1592165303,0,2
1592167211,0,1
1592171051,1,0
1592172975,1,0
1592174905,0,1
1592176842,1,0
1592178733,1,0
1592180670,1,0
1592189293,1,0
1592191210,0,1
1592195053,0,1
1592202748,1,0
1592208515,0,2
1592210410,1,1
1592212330,0,1
1592214268,1,1
1592218091,0,1
1592220024,0,1
1592227686,1,0
1592230568,1,1
1592234569,1,2
1592238492,1,0
1592242353,1,0
1592246170,1,0
1592248110,0,1
1592250009,0,3
1592257938,1,2
1592263691,3,1
1592266572,1,2
1592268491,1,0
1592270554,1,0
1592274494,0,1
1592279302,1,0
1592285052,1,0
1592288890,0,1
1592298500,1,1
1592300414,0,1
1592308109,3,0
1592310010,6,0
1592311935,2,0
1592313870,0,1
1592315769,1,1
1592321817,0,1
1592323702,0,1
1592325611,1,0
1592327551,2,0
1592329452,0,1
1592331370,1,1
1592339051,1,0
1592340987,1,0
1592345789,0,1
1592347699,1,0
1592349626,0,2
1592351529,0,1
1592353479,0,1
1592355372,0,1
1592357321,0,1
1592361393,2,0
1592363295,2,0
1592365209,1,1
