DateTime,AddedIPs,RemovedIPs
1591369249,0,1
1591374973,0,1
1591376905,1,1
1591378811,0,1
1591380730,0,1
1591382682,0,3
1591388423,1,1
1591390332,1,2
1591392273,0,2
1591394183,1,0
1591400887,2,1
1591402821,1,0
1591404729,0,1
1591406695,1,0
1591408581,0,3
1591411467,0,1
1591413390,0,1
1591417292,1,0
1591419387,1,1
1591424169,1,0
1591428016,0,1
1591429928,1,1
1591431862,1,1
1591435689,1,0
1591440732,0,4
1591444569,1,2
1591446489,1,2
1591449395,0,2
1591451303,2,0
1591458967,1,0
1591462893,1,2
1591466703,2,0
1591472408,4,0
1591474342,0,1
1591476252,2,1
1591480102,2,1
1591483933,2,0
1591485864,0,1
1591487768,1,1
1591492588,1,1
1591494503,3,0
1591496441,2,0
1591498335,1,0
1591504089,1,2
1591506092,0,1
1591508012,1,0
1591510102,0,1
1591512011,0,1
1591515852,1,0
1591517770,0,1
1591521610,1,3
1591523536,2,0
1591525467,1,0
1591529290,0,1
1591531310,3,0
1591533136,0,1
1591536989,1,0
1591538912,0,1
1591544653,0,1
1591546582,1,0
1591548492,4,1
1591550419,2,1
1591552367,1,0
1591554252,0,1
1591558393,0,2
1591562423,0,1
1591564330,1,2
1591566256,0,2
1591568423,2,0
1591570337,0,2
1591572256,1,1
1591574182,0,1
1591576089,1,0
1591579964,1,3
1591581939,1,3
1591583784,1,2
1591589548,1,0
1591591451,0,1
1591593371,1,0
1591595305,2,0
1591597224,0,1
1591601076,3,0
1591602984,2,2
1591605263,4,0
1591607067,0,1
1591608979,1,2
1591610915,0,1
1591612814,1,0
1591614983,1,0
1591616900,0,1
1591618827,0,1
1591626498,1,0
1591632502,1,0
1591634420,1,3
1591636337,0,2
1591638266,0,1
1591640183,1,1
1591644028,2,0
1591645932,2,0
1591649785,1,1
1591651957,0,2
1591653941,2,2
1591657703,2,0
1591659620,1,1
1591661550,2,1
1591663462,4,1
1591665435,2,1
1591667307,2,1
1591669217,1,1
1591671135,1,0
1591673153,2,0
1591674972,1,0
1591676897,1,1
1591678978,1,0
1591680969,0,2
1591682893,1,0
1591686976,0,1
1591688890,0,4
1591690827,0,3
1591692732,1,0
1591694653,3,2
1591698500,0,1
1591701376,0,2
1591707133,2,0
1591709068,1,0
1591712893,1,1
1591716011,2,0
1591717930,0,1
1591719868,1,1
1591721772,1,0
1591723686,3,0
1591727532,2,0
1591729703,2,2
1591733541,1,0
1591735450,1,0
1591737753,1,0
1591739771,1,2
1591741700,3,0
1591743735,0,1
1591745551,0,2
1591747556,1,1
1591749390,1,3
1591753220,0,1
1591755131,1,2
1591757065,1,2
1591758968,2,2
1591762823,3,2
1591764738,0,1
1591768581,0,2
1591773370,0,1
1591779134,0,1
1591781056,0,2
1591784915,0,1
1591790661,1,0
1591792834,0,2
1591796660,0,1
1591800747,0,3
1591806506,0,1
1591808435,1,2
1591810335,0,2
1591812274,4,0
1591814202,0,3
1591816111,0,1
1591819929,2,1
1591821865,0,3
1591825687,3,2
1591827623,3,0
1591829529,0,1
1591831466,1,1
1591833403,0,1
1591835287,0,3
