DateTime,AddedIPs,RemovedIPs
1591744828,12,9
1591746730,15,17
1591748653,11,17
1591750583,17,8
1591752491,13,21
1591755374,20,19
1591757294,14,15
1591759223,24,261
1591761130,16,2211
1591763056,14,1311
1591765001,16,1675
1591766888,9,1555
1591770029,15,21
1591771932,10,9
1591773850,21,9
1591775782,37,20
1591777696,19,26
1591779662,19,18
1591781544,19,8
1591783471,13,18
1591785425,18,21
1591787332,26,17
1591789256,24,50
1591791141,27,11
1591793090,24,24
1591795218,24,23
1591797184,24,14
1591799074,18,48
1591800971,23,63
1591802902,19,64
1591804881,19,240
1591806734,13,134
1591808668,21,16
1591810573,13,11
1591812499,18,23
1591814449,25,23
1591816329,15,17
1591818273,16,11
1591820168,23,18
1591822113,21,13
1591824028,22,17
1591825935,20,10
1591827854,14,5
1591829784,17,12
1591831690,19,16
1591834671,33,23
1591836514,20,16
1591838422,22,13
1591840335,25,17
1591842254,18,20
1591844190,16,22
1591846091,16,26
1591848971,23,101
1591851187,1593,22
1591853067,3494,12
1591854993,3715,9
1591856893,2694,9
1591858944,2513,15
1591860754,271,10
1591862696,156,42
1591864573,63,6
1591866559,13,9
1591868420,11,13
1591870342,12,4
1591872271,16,16
1591874170,12,13
1591876094,15,18
1591878013,10,16
1591879945,10,14
1591881873,659,12
1591883774,27,14
1591885693,16,11
1591888244,21,22
1591890250,11,18
1591892180,629,4
1591894105,94,11
1591896009,693,8
1591897990,388,7
1591899855,445,12
1591901788,1831,11
1591903711,1157,5
1591905651,856,8
1591907566,352,7
1591909465,530,10
1591911373,479,6
1591913552,707,10
1591915453,378,6
1591917402,285,5
1591919307,144,7
1591921208,4,4
1591923128,14,11
1591925068,9,9
1591926969,6,7
1591928893,11,6
1591930925,9,6
1591932797,10,5
1591934898,9,0
1591936811,7,46
1591938742,4,1590
1591940681,16,1720
1591942575,53,1348
1591944528,705,1697
1591946408,13,165
1591948348,9,67
1591950266,36,122
1591952205,9,12
1591954087,7,5
1591957222,24,8
1591959134,11,13
1591961072,11,10
1591962971,10,10
1591964893,13,10
1591966887,9,5
1591968769,14,541
1591970688,6,182
1591972589,4,12
1591974503,10,8
1591976445,6,2
1591978331,17,6
1591980269,10,666
1591982174,13,796
1591984095,15,578
1591986024,9,450
1591987933,8,2161
1591989854,9,2453
1591991785,12,2037
1591993691,11,971
1591996596,22,2019
1591998488,17,1358
1592000421,20,1248
1592002339,14,1324
1592004248,8,306
1592006181,10,176
1592008087,18,17
1592010971,31,32
1592012908,16,29
1592014814,16,21
1592016734,18,13
1592018683,10,19
1592020569,16,24
1592022506,14,15
1592025374,22,23
1592027293,12,26
1592029223,12,20
1592031130,16,753
1592033049,17,21
1592034983,21,12
1592036888,17,13
1592039775,27,20
1592041696,20,24
1592043639,17,12
1592045532,11,47
1592047450,22,15
1592049385,19,18
1592051315,5313,19
1592054172,30,26
1592056091,12,19
1592058051,12,6
1592059931,8,12
1592061866,15,9
1592063771,8,17
1592065690,27,25
1592067716,1995,18
1592069534,1048,21
1592071700,956,19
1592073615,1369,9
1592075545,656,6
1592077454,8,10
1592079372,13,7
1592081376,8,15
1592083210,8,16
1592085128,13,13
1592087063,13,79
1592088969,14,6
1592091176,14,7
1592093056,8,12
1592094986,6,16
1592096900,13,13
1592098831,6,10
1592100748,9,12
1592102655,11,15
1592104575,15,6
1592106512,9,10
1592108414,9,12
1592110335,12,7
1592112284,9,10
1592114193,7,10
1592116093,16,10
1592119211,310,19
1592121147,17,17
1592123083,14,14
1592124971,18,11
1592126888,12,8
1592129773,16,24
1592131731,10,13
1592133611,14,17
1592135574,7,13
1592137472,12,2970
1592139532,16,905
1592141548,12,14
1592143963,6,14
1592145855,8,9
1592147771,4,7
1592149748,1,5
1592151619,2,9
1592153537,7,1811
1592155473,5,1411
1592157400,15,1115
1592159291,19,1423
1592161469,21,1357
1592163383,24,14
1592165304,32,15
1592167212,20,14
1592169150,18,15
1592171052,27,18
1592172976,26,11
1592174907,15,12
1592176843,90,22
1592178734,14,17
1592180671,26,12
1592182571,24,15
1592184510,9,12
1592187385,488,17
1592189322,274,24
1592191211,15,10
1592193147,20,15
1592195055,12,12
1592196969,17,16
1592198908,20,12
1592200981,22,12
1592202978,36,179
1592204908,236,18
1592206813,55,20
1592208727,15,16
1592210692,11,26
1592212570,22,18
1592214501,37,13
1592216461,448,8
1592218336,180,18
1592220251,38,18
1592222192,49,14
1592224122,880,13
1592226175,1786,18
1592228171,1273,11
1592230116,1210,5
1592232011,1431,6
1592234571,808,6
