DateTime,Entries,UniqueIPs
1591744828,9062,9062
1591746730,9060,9060
1591748653,9054,9054
1591750583,9063,9063
1591752491,9055,9055
1591755374,9056,9056
1591757294,9055,9055
1591759223,8818,8818
1591761130,6623,6623
1591763056,5326,5326
1591765001,3667,3667
1591766888,2121,2121
1591770029,2115,2115
1591771932,2116,2116
1591773850,2128,2128
1591775782,2145,2145
1591777696,2138,2138
1591779662,2139,2139
1591781544,2150,2150
1591783471,2145,2145
1591785425,2142,2142
1591787332,2151,2151
1591789256,2125,2125
1591791141,2141,2141
1591793090,2141,2141
1591795218,2142,2142
1591797184,2152,2152
1591799074,2122,2122
1591800971,2082,2082
1591802902,2037,2037
1591804881,1816,1816
1591806734,1695,1695
1591808668,1700,1700
1591810573,1702,1702
1591812499,1697,1697
1591814449,1699,1699
1591816329,1697,1697
1591818273,1702,1702
1591820168,1707,1707
1591822113,1715,1715
1591824028,1720,1720
1591825935,1730,1730
1591827854,1739,1739
1591829784,1744,1744
1591831690,1747,1747
1591834671,1757,1757
1591836514,1761,1761
1591838422,1770,1770
1591840335,1778,1778
1591842254,1776,1776
1591844190,1770,1770
1591846091,1760,1760
1591848971,1682,1682
1591851187,3253,3253
1591853067,6735,6735
1591854993,10441,10441
1591856893,13126,13126
1591858944,15624,15624
1591860754,15885,15885
1591862696,15999,15999
1591864573,16056,16056
1591866559,16060,16060
1591868420,16058,16058
1591870342,16066,16066
1591872271,16066,16066
1591874170,16065,16065
1591876094,16062,16062
1591878013,16056,16056
1591879945,16052,16052
1591881873,16699,16699
1591883774,16712,16712
1591885693,16717,16717
1591888244,16716,16716
1591890250,16709,16709
1591892180,17334,17334
1591894105,17417,17417
1591896009,18102,18102
1591897990,18483,18483
1591899855,18916,18916
1591901788,20736,20736
1591903711,21888,21888
1591905651,22736,22736
1591907566,23081,23081
1591909465,23601,23601
1591911373,24074,24074
1591913552,24771,24771
1591915453,25143,25143
1591917402,25423,25423
1591919307,25560,25560
1591921208,25560,25560
1591923128,25563,25563
1591925068,25563,25563
1591926969,25562,25562
1591928893,25567,25567
1591930925,25570,25570
1591932797,25575,25575
1591934898,25584,25584
1591936811,25545,25545
1591938742,23959,23959
1591940681,22255,22255
1591942575,20960,20960
1591944528,19968,19968
1591946408,19816,19816
1591948348,19758,19758
1591950266,19672,19672
1591952205,19669,19669
1591954087,19671,19671
1591957222,19687,19687
1591959134,19685,19685
1591961072,19686,19686
1591962971,19686,19686
1591964893,19689,19689
1591966887,19693,19693
1591968769,19166,19166
1591970688,18990,18990
1591972589,18982,18982
1591974503,18984,18984
1591976445,18988,18988
1591978331,18999,18999
1591980269,18343,18343
1591982174,17560,17560
1591984095,16997,16997
1591986024,16556,16556
1591987933,14403,14403
1591989854,11959,11959
1591991785,9934,9934
1591993691,8974,8974
1591996596,6977,6977
1591998488,5636,5636
1592000421,4408,4408
1592002339,3098,3098
1592004248,2800,2800
1592006181,2634,2634
1592008087,2635,2635
1592010971,2634,2634
1592012908,2621,2621
1592014814,2616,2616
1592016734,2621,2621
1592018683,2612,2612
1592020569,2604,2604
1592022506,2603,2603
1592025374,2602,2602
1592027293,2588,2588
1592029223,2580,2580
1592031130,1843,1843
1592033049,1839,1839
1592034983,1848,1848
1592036888,1852,1852
1592039775,1859,1859
1592041696,1855,1855
1592043639,1860,1860
1592045532,1824,1824
1592047450,1831,1831
1592049385,1832,1832
1592051315,7126,7126
1592054172,7130,7130
1592056091,7123,7123
1592058051,7129,7129
1592059931,7125,7125
1592061866,7131,7131
1592063771,7122,7122
1592065690,7124,7124
1592067716,9101,9101
1592069534,10128,10128
1592071700,11065,11065
1592073615,12425,12425
1592075545,13075,13075
1592077454,13073,13073
1592079372,13079,13079
1592081376,13072,13072
1592083210,13064,13064
1592085128,13064,13064
1592087063,12998,12998
1592088969,13006,13006
1592091176,13013,13013
1592093056,13009,13009
1592094986,12999,12999
1592096900,12999,12999
1592098831,12995,12995
1592100748,12992,12992
1592102655,12988,12988
1592104575,12997,12997
1592106512,12996,12996
1592108414,12993,12993
1592110335,12998,12998
1592112284,12997,12997
1592114193,12994,12994
1592116093,13000,13000
1592119211,13291,13291
1592121147,13291,13291
1592123083,13291,13291
1592124971,13298,13298
1592126888,13302,13302
1592129773,13294,13294
1592131731,13291,13291
1592133611,13288,13288
1592135574,13282,13282
1592137472,10324,10324
1592139532,9435,9435
