DateTime,AddedIPs,RemovedIPs
1591749392,33,20
1591751310,18,14
1591753221,18,19
1591755132,19,14
1591757066,20,17
1591758969,26,86
1591760889,20,2068
1591762824,13,1466
1591764738,31,1562
1591766650,10,1657
1591768581,15,167
1591770491,11,52
1591773370,64,14
1591775290,39,23
1591777225,25,19
1591779135,18,28
1591781056,21,17
1591782984,16,23
1591784915,26,18
1591787791,37,37
1591789691,35,45
1591791648,32,19
1591793615,43,45
1591795483,24,26
1591797368,30,18
1591799302,21,52
1591802193,39,106
1591804088,18,74
1591806011,18,322
1591807944,21,22
1591809873,17,17
1591811784,19,20
1591813703,31,26
1591816571,31,36
1591818521,19,18
1591820424,20,21
1591822333,31,20
1591824251,27,25
1591826185,22,9
1591828088,15,17
1591830967,36,26
1591832887,28,26
1591834822,64,30
1591836731,24,30
1591838656,27,26
1591840587,27,19
1591842493,27,24
1591845373,33,46
1591847291,20,99
1591849227,14,19
1591851187,1594,28
1591853067,3487,13
1591855013,3736,12
1591856894,2657,12
1591858959,2494,20
1591860971,282,14
1591862904,188,43
1591864809,33,7
1591866975,15,19
1591868887,17,7
1591870821,11,11
1591872747,21,20
1591874650,17,15
1591876588,17,19
1591878491,12,31
1591880516,12,20
1591882333,670,13
1591884252,16,15
1591886187,17,18
1591888245,18,17
1591890251,17,20
1591892181,628,6
1591894106,96,11
1591896010,693,9
1591898009,386,9
1591899855,448,14
1591901789,1828,13
1591903712,1150,7
1591906581,978,14
1591908499,524,13
1591910427,500,12
1591912332,763,11
1591914263,279,6
1591916219,500,12
1591918092,56,10
1591920080,144,8
1591921931,9,52
1591923924,14,15
1591925785,11,11
1591927693,9,9
1591929616,15,10
1591931544,7,6
1591933463,13,4
1591935398,11,4
1591937308,8,446
1591939209,9,1618
1591941132,15,1773
1591943068,60,1299
1591944975,713,1388
1591946892,12,65
1591949774,17,178
1591951706,40,13
1591953650,6,9
1591955545,19,12
1591957465,14,6
1591959391,11,13
1591961289,15,19
1591964175,21,19
1591966106,12,8
1591968041,13,406
1591969940,15,314
1591971867,4,14
1591973772,10,10
1591975705,7,7
1591977645,12,9
1591979597,15,201
1591981490,17,1014
1591983375,14,627
1591985306,17,329
1591987218,12,1249
1591989131,8,2708
1591991109,14,2185
1591992978,13,1340
1591994893,15,1376
1591996869,20,1246
1591998733,18,1646
1592000656,27,912
1592002583,12,1347
1592004491,10,174
1592006490,17,179
1592008345,20,21
1592010499,27,25
1592012409,19,27
1592014344,18,25
1592016253,20,24
1592018196,17,20
1592020095,16,22
1592022011,16,21
1592023945,17,21
1592025864,15,22
1592027784,17,23
1592029692,15,149
1592031736,123,749
1592033568,21,13
1592035481,29,22
1592037372,22,15
1592039319,21,13
1592041210,14,21
1592043136,22,21
1592045067,17,51
1592046980,22,25
1592048894,22,15
1592050826,2184,19
1592052735,3151,21
1592054653,19,21
1592056585,24,17
1592058491,11,8
1592061406,29,22
1592063312,11,16
1592065220,13,23
1592067136,1563,21
1592069072,1179,20
1592070976,955,30
1592072893,1212,11
1592074921,1123,14
1592076738,13,11
1592078658,13,11
1592080585,15,17
1592082494,9,15
1592084416,16,20
1592086355,12,79
1592088256,18,16
1592090176,17,6
1592092112,14,12
1592094017,3,12
1592096123,22,19
1592098333,13,18
1592100280,11,15
1592102258,13,15
1592104094,17,13
1592106009,10,8
1592107945,13,11
1592109849,16,14
1592111775,10,9
1592113706,9,15
1592115612,15,9
1592117529,303,11
1592119471,12,14
1592121369,18,21
1592123291,19,15
1592125311,17,16
1592127131,10,5
1592130009,17,26
1592131937,13,19
1592133865,17,14
1592135769,12,18
1592137709,15,3855
