DateTime,AddedIPs,RemovedIPs
1591747708,1,0
1591749613,1,1
1591751527,2,2
1591753467,1,1
1591755376,2,0
1591757296,0,5
1591759225,3,3
1591761132,2,0
1591763059,1,1
1591765008,3,1
1591766891,2,0
1591769011,5,1
1591770971,5,2
1591772928,2,2
1591774822,3,0
1591776731,1,0
1591778662,2,1
1591780592,1,1
1591782489,0,3
1591784421,1,2
1591786329,6,3
1591788248,3,4
1591790180,2,1
1591792356,3,3
1591794268,3,0
1591796206,4,0
1591798151,0,7
1591800031,14,1
1591801939,1,2
1591803855,3,0
1591805790,3,3
1591807694,2,1
1591809613,5,1
1591811568,2,2
1591815369,1,4
1591817287,3,0
1591819347,2,5
1591821151,1,2
1591823059,3,1
1591824982,7,1
1591826906,1,1
1591828826,4,0
1591830732,2,2
1591832674,0,2
1591834673,19,1
1591836516,1,2
1591838424,1,1
1591840337,4,1
1591842256,1,2
1591844191,4,0
1591846092,4,3
1591848972,4,2
1591851189,2,4
1591853085,2,2
1591855014,3,4
1591856896,1,2
1591858993,6,4
1591860973,3,2
1591862906,4,1
1591864811,7,2
1591866977,5,2
1591868889,4,0
1591870822,1,2
1591872749,3,3
1591874652,3,3
1591876592,4,2
1591878492,5,2
1591880612,2,4
1591882587,7,4
1591884494,4,0
1591886431,3,19
1591888246,4,1
1591890252,0,3
1591892183,4,3
1591894107,1,2
1591896012,4,5
1591898022,6,2
1591899857,3,0
1591901790,4,1
1591903713,8,3
1591905698,4,2
1591907567,5,1
1591909467,5,3
1591911375,4,7
1591913554,7,1
1591915455,4,4
1591917403,3,2
1591919309,4,0
1591921212,1,12
1591923129,1,1
1591925069,1,1
1591926971,4,4
1591928895,2,1
1591930982,5,5
1591932800,4,3
1591934899,1,1
1591936839,3,4
1591938744,0,2
1591940683,6,3
1591942577,2,2
1591944530,7,6
1591946410,3,5
1591948350,2,6
1591950268,1,8
1591952209,2,5
1591954088,2,2
1591957236,11,5
1591959136,4,3
1591961074,3,4
1591962973,0,4
1591964895,4,5
1591966943,1,2
1591968775,2,7
1591970700,5,3
1591972589,2,3
1591974504,4,4
1591976445,3,0
1591978332,0,4
1591980271,3,1
1591982175,1,5
1591984096,4,6
1591986025,2,3
1591987934,0,4
1591989856,0,7
1591991785,2,5
1591993692,0,3
1591996597,4,9
1591998489,5,7
1592000422,3,2
1592002340,5,5
1592004249,4,1
1592006182,1,4
1592008088,0,1
1592010078,0,1
1592011928,2,1
1592014096,2,4
1592016014,6,5
1592018197,3,4
1592020097,2,4
1592022017,0,3
1592023946,2,0
1592025866,1,3
1592027786,3,3
1592029694,3,4
1592031795,2,6
1592033768,1,3
1592035727,3,0
1592037609,2,2
1592039530,2,1
1592041463,1,6
1592043640,3,6
1592045534,2,4
1592047451,4,3
1592049386,6,0
1592051317,1,4
1592053266,1,1
1592055143,5,2
1592057080,4,3
1592058969,2,2
1592060919,0,4
1592062810,3,3
1592066653,2,2
1592068574,3,1
1592070509,3,4
1592072409,4,3
1592074330,2,0
1592076269,6,0
1592078195,1,2
1592080334,5,0
1592082277,4,2
1592084184,2,2
1592086102,1,4
1592088015,4,6
1592089948,1,3
1592091853,3,3
1592093774,1,0
1592095707,2,0
1592097613,1,2
1592099559,2,2
1592101478,4,2
1592103375,0,5
