DateTime,AddedIPs,RemovedIPs
1591588106,3,1
1591591936,4,0
1591593869,5,1
1591595777,1,1
1591597692,4,0
1591599757,1,2
1591601784,2,2
1591603689,1,1
1591605631,4,1
1591607538,2,0
1591609453,2,0
1591611370,2,2
1591613298,2,1
1591619054,1,1
1591620982,3,0
1591622915,1,0
1591627218,2,0
1591629381,0,1
1591631292,5,1
1591633229,1,1
1591635134,2,0
1591637094,1,0
1591640891,0,1
1591643770,1,2
1591649530,1,3
1591651545,0,2
1591653419,1,0
1591655316,1,0
1591657349,1,11
1591659166,0,2
1591661099,1,0
1591662987,1,1
1591664896,1,0
1591666821,2,0
1591668761,0,3
1591670656,1,4
1591672574,0,1
1591674506,1,3
1591676415,1,0
1591678331,0,1
1591680259,1,5
1591682171,1,1
1591684122,2,2
1591686109,0,3
1591687949,2,4
1591689903,2,0
1591691774,2,3
1591693710,2,1
1591695613,2,2
1591697540,1,1
1591699475,0,6
1591701379,1,0
1591705220,2,0
1591707136,3,3
1591709072,1,2
1591712896,2,0
1591714998,0,1
1591716814,0,3
1591718740,2,2
1591720588,0,3
1591722520,2,0
1591724417,0,2
1591728255,1,1
1591730173,1,1
1591734012,2,0
1591735934,0,1
1591739777,2,1
1591741706,1,0
1591743820,0,1
1591745770,1,0
1591747710,0,1
1591749615,2,1
1591751527,2,1
1591753467,0,3
1591757303,1,0
1591759226,3,0
1591761133,1,0
1591763060,0,1
1591765011,1,0
1591766892,1,2
1591769090,4,1
1591770972,0,2
1591772929,1,1
1591774823,1,1
1591776732,2,2
1591778663,2,2
1591780593,2,0
1591782490,1,2
1591784422,0,1
1591786330,1,0
1591788249,1,0
1591790181,1,0
1591792357,1,1
1591794271,0,2
1591796207,1,1
1591798156,1,0
1591800033,1,3
1591801940,0,2
1591803856,1,2
1591805791,1,0
1591807695,0,3
1591809615,2,0
1591811569,2,0
1591813482,1,0
1591815370,1,1
1591817288,2,1
1591819384,2,2
1591821371,2,1
1591823307,3,0
1591825234,0,1
1591827130,0,1
1591829062,1,0
1591830969,1,1
1591832889,1,0
1591834823,0,1
1591836732,1,1
1591838657,1,2
1591842494,1,0
1591845374,4,3
1591847292,1,0
1591849228,1,1
1591851190,1,1
1591853086,0,1
1591855015,1,2
1591856897,0,1
