DateTime,AddedIPs,RemovedIPs
1591749615,9,8
1591751528,13,15
1591753468,43,17
1591755378,12,17
1591757304,14,12
1591759226,11,6
1591761133,9,8
1591763060,10,14
1591765012,16,16
1591766892,21,16
1591769101,7,11
1591770972,18,17
1591772929,12,9
1591774823,18,10
1591776732,48,232
1591778663,20,9
1591780594,20,13
1591782491,21,16
1591784424,18,13
1591786330,15,11
1591788249,16,12
1591790182,29,13
1591792357,20,6
1591794297,19,19
1591796208,33,30
1591798189,48,14
1591800033,75,14
1591801940,27,98
1591803856,18,12
1591805791,47,7
1591807695,55,6
1591809615,12,11
1591811569,16,25
1591813485,17,15
1591815371,17,49
1591817289,11,15
1591819390,12,28
1591821372,18,17
1591823307,15,11
1591825234,31,5
1591827130,8,12
1591829062,9,8
1591830969,5,8
1591832890,16,14
1591834824,12,25
1591836732,3,14
1591838658,25,17
1591840588,22,44
1591842494,26,17
1591845375,28,15
1591847293,48,7
1591849228,19,11
1591851190,14,17
1591853086,9,19
1591855015,9,9
1591856897,15,17
1591859002,12,14
1591860975,27,13
1591862908,14,44
1591864813,15,14
1591866978,14,22
1591868890,65,17
1591870823,23,16
1591872751,12,10
1591874655,14,18
1591876594,27,28
1591878493,22,18
1591880640,19,13
1591882590,25,30
1591884495,40,38
1591886433,46,79
1591888248,77,25
1591890254,8,17
1591892192,10,46
1591894109,5,53
1591896014,11,10
1591898060,9,14
1591900097,13,11
1591902985,12,19
1591904896,7,13
1591906819,13,15
1591908729,12,17
1591910679,15,13
1591912582,10,33
1591914491,16,8
1591916490,8,4
1591918331,5,6
1591920503,12,14
1591922419,5,6
1591924346,7,19
1591926256,5,29
1591928174,7,12
1591930116,5,32
1591932008,9,11
1591933963,5,55
1591935870,5,19
1591937772,6,16
1591939693,7,12
1591942580,13,20
1591944532,10,11
1591946412,5,15
1591948351,21,27
1591950270,10,15
1591952211,4,11
1591954090,4,15
1591957237,21,81
1591959137,6,12
1591961076,10,6
1591962975,9,10
1591964896,4,13
1591967039,13,14
1591968987,15,11
1591970896,12,36
