DateTime,AddedIPs,RemovedIPs
1591688901,5,2
1591690888,4,0
1591692743,6,2
1591694660,4,1
1591696613,6,0
1591698520,4,2
1591700558,1,4
1591702362,2,0
1591704339,3,1
1591706192,7,0
1591708103,3,2
1591711953,3,1
1591713893,2,0
1591715773,1,0
1591717732,1,0
1591719619,3,2
1591721548,1,2
1591723467,2,3
1591725374,1,2
1591727291,1,1
1591729393,4,6
1591731386,0,1
1591733338,1,8
1591735227,2,5
1591737762,0,7
1591739779,3,4
1591741708,0,2
1591743826,6,2
1591745772,3,13
1591747757,2,5
1591749619,3,5
1591751529,3,2
1591753470,0,2
1591755379,1,0
1591757306,1,4
1591759229,1,8
1591761136,1,3
1591763063,2,7
1591765013,4,2
1591766898,3,5
1591769113,3,3
1591770975,4,4
1591772931,1,1
1591774825,1,4
1591776734,3,3
1591778665,2,5
1591780596,1,4
1591782493,5,4
1591784433,0,7
1591786332,1,3
1591788252,2,1
1591790184,6,3
1591792364,2,6
1591794324,1,3
1591796210,3,1
1591798257,3,0
1591800332,3,3
1591802195,5,3
1591804090,3,1
1591806013,1,5
1591807947,3,1
1591809875,2,3
1591811789,3,1
1591813709,1,1
1591815732,3,3
1591817556,4,0
1591819408,1,1
1591821375,1,2
1591823310,1,0
1591825237,4,1
1591827134,3,3
1591829064,0,2
1591830974,0,3
1591832893,0,3
1591834826,3,4
1591836735,3,3
1591838660,1,0
1591842497,0,2
1591845377,2,1
1591847294,0,1
1591849231,0,2
1591851193,1,3
1591853089,3,4
1591855018,1,4
1591856900,0,3
1591859012,5,1
1591860977,1,1
1591862911,2,2
1591864815,1,3
1591866981,2,1
1591868892,10,4
1591870826,7,1
1591872754,6,1
1591874658,7,2
1591876597,7,5
1591878496,3,4
1591880649,1,2
1591882600,1,2
1591884497,2,2
1591886435,3,2
1591888250,8,3
1591890256,4,3
1591892195,6,1
1591894111,6,1
1591896016,0,2
1591898132,1,3
1591900099,1,1
1591902991,1,4
1591904900,4,2
1591906828,7,0
1591908752,7,0
1591910682,1,3
1591912584,0,11
1591914493,3,4
1591916634,3,0
1591918584,2,0
1591920507,0,2
1591922421,2,4
1591924360,1,1
1591926259,1,2
1591930119,0,1
1591932011,0,1
1591933965,4,0
1591935884,4,0
1591937776,3,1
1591939695,0,3
1591944537,0,4
1591946415,0,1
1591948356,3,1
1591950272,3,3
1591952214,6,0
1591954092,1,3
1591957240,0,12
1591959139,0,7
1591961079,2,7
1591962977,0,6
1591964898,0,3
1591967070,0,1
1591968990,1,1
1591970899,4,1
1591972812,2,1
1591975015,1,13
1591976978,3,1
1591978824,3,8
1591980737,2,5
1591982652,0,1
1591984585,0,1
1591986490,10,1
1591989374,2,1
1591991293,5,4
1591993222,0,9
1591995149,0,8
1591997053,3,0
1591998985,1,0
1592000921,0,3
1592002970,0,2
1592006934,1,2
1592008957,2,2
1592010974,0,1
1592012920,1,1
1592014818,1,0
1592016739,3,0
1592018687,1,0
1592020572,1,4
1592022509,1,4
1592024592,3,3
1592028508,2,1
1592032580,1,1
1592034498,1,0
1592036425,2,3
1592038337,0,5
1592040255,4,1
1592042191,1,1
1592044092,1,0
1592046983,3,2
1592048896,11,0
1592054655,3,2
1592056588,0,1
1592058495,6,1
1592060567,8,3
1592062583,4,1
1592064544,3,6
1592066410,1,2
1592070254,1,0
1592072177,2,6
1592074106,0,2
1592076008,3,2
1592077931,5,2
1592080014,1,0
1592082973,5,1
1592084922,1,2
1592086812,0,1
1592088761,2,0
1592090667,3,1
1592092570,2,1
1592094491,3,1
1592097377,1,1
1592099310,0,1
1592101238,1,1
1592103135,5,3
1592105069,0,1
1592106986,8,1
1592108894,9,1
1592110946,1,1
1592112990,2,1
1592114900,3,0
1592118743,4,1
1592120651,4,2
1592122577,11,2
1592124507,1,0
1592126410,1,5
1592128332,3,0
1592130274,2,1
1592132170,5,2
1592134090,3,3
1592136200,2,7
1592138297,2,0
1592140211,4,4
1592142671,2,2
1592144733,0,5
1592146569,1,9
1592148508,1,7
1592151621,2,3
1592153540,2,0
1592157403,2,1
1592159295,3,3
1592161492,2,1
1592163387,3,4
1592165308,1,1
1592167216,3,2
1592169185,0,1
1592171056,1,2
1592172979,1,1
1592174911,1,3
1592176846,0,1
1592178739,1,2
1592180676,0,3
1592182573,1,1
1592184513,4,0
1592187388,3,1
1592189326,3,5
1592191215,3,0
1592193174,4,6
1592195058,1,10
1592196972,4,0
1592198910,2,3
1592201064,2,2
1592202998,1,0
1592204910,1,4
1592206817,0,3
1592208731,1,11
1592210696,1,3
1592212583,6,2
1592214504,6,2
1592216485,4,3
1592218340,1,4
1592220254,4,5
1592222205,3,2
1592224127,1,2
1592226276,3,4
1592228177,4,3
1592230120,1,0
1592232018,1,1
1592234575,2,1
1592236618,1,1
1592238498,2,2
1592240536,6,0
1592242358,3,2
1592244274,2,0
1592246176,0,4
1592248113,3,0
1592250013,3,4
1592252182,1,4
1592254098,2,1
1592256051,2,0
1592257941,5,0
1592259856,5,2
1592261794,1,0
1592263695,2,1
1592266577,0,1
1592268496,3,1
1592270561,4,3
1592272595,1,1
1592274503,1,3
1592276589,3,2
1592278574,1,0
1592280512,1,1
1592282417,0,1
1592284331,4,2
1592286274,1,0
1592288417,3,1
1592290352,2,1
1592292278,1,0
1592294178,1,0
1592296115,0,1
1592299010,2,6
1592300914,12,6
1592302816,12,3
1592304740,33,0
1592306677,1,0
1592308578,0,1
1592310817,3,1
1592312923,0,3
1592314823,0,4
1592318702,3,1
1592320601,3,1
1592322532,4,2
1592324424,4,1
1592326342,6,6
1592328277,5,5
1592330176,0,2
1592332420,0,3
1592334394,1,1
1592336456,1,4
1592338333,4,2
1592340308,0,1
1592342180,12,2
1592344090,2,8
1592346033,4,4
1592347934,0,3
1592349852,1,1
1592351819,1,0
1592353944,2,0
1592355898,2,4
1592357918,0,1
1592359996,1,0
1592361866,1,4
1592363772,3,0
