DateTime,AddedIPs,RemovedIPs
1591747756,15,12
1591749618,14,7
1591751529,6,4
1591753470,12,12
1591755379,5,8
1591757305,12,11
1591759229,14,9
1591761136,7,11
1591763062,7,6
1591765013,12,9
1591766898,17,13
1591769111,12,17
1591770974,7,8
1591772931,6,18
1591774824,7,5
1591776734,10,9
1591778665,12,8
1591780595,9,16
1591782493,13,19
1591784433,8,9
1591786332,7,6
1591788251,12,6
1591790183,6,16
1591792359,10,9
1591794313,8,10
1591796209,7,7
1591798255,5,11
1591800328,16,12
1591802195,6,11
1591804090,10,20
1591806013,6,3
1591807947,6,25
1591809874,8,9
1591811788,8,13
1591813708,5,13
1591815715,8,8
1591817551,7,13
1591819406,10,5
1591821374,10,14
1591823309,9,18
1591825237,6,12
1591827133,50,7
1591829064,6,24
1591830974,10,13
1591832892,5,13
1591834826,3,15
1591836735,5,12
1591838660,8,7
1591840590,9,8
1591842497,7,10
1591845377,13,24
1591847294,7,8
1591849231,6,8
1591851192,11,18
1591853088,10,21
1591855017,10,11
1591856899,5,8
1591859009,10,6
1591860977,10,9
1591862911,7,9
1591864815,8,12
1591866980,6,12
1591868892,8,11
1591870825,7,11
1591872754,7,12
1591874658,11,11
1591876597,8,5
1591878496,27,11
1591880647,9,8
1591882600,5,7
1591884497,2,7
1591886434,8,14
1591888250,8,7
1591890256,2,10
1591892194,10,10
1591894111,12,6
1591896016,7,6
1591898109,12,11
1591900099,10,6
1591902990,12,10
1591904899,15,16
1591906822,40,11
1591908752,11,12
1591910682,6,4
1591912584,6,6
1591914493,26,48
1591916600,51,11
1591918584,20,8
1591920506,5,2
1591922421,4,8
1591924360,4,5
1591926259,9,9
1591928176,3,6
1591930119,12,6
1591932011,13,11
1591933965,6,4
1591935883,5,7
1591937776,13,11
1591939695,10,12
1591942597,17,11
1591944537,12,9
1591946414,9,8
1591948356,6,9
1591950271,8,6
1591952214,8,7
1591954092,99,11
1591957239,11,8
1591959139,10,8
1591961079,9,11
1591962977,5,8
1591964898,6,30
1591967070,5,7
1591968990,5,3
1591970899,5,2
1591972812,9,6
1591975015,11,13
1591976978,7,4
1591978824,10,13
1591980737,10,7
1591982652,11,6
1591984585,5,7
1591986490,6,11
1591989374,9,12
1591991292,7,14
1591993222,9,48
1591995148,3,9
1591997053,20,4
1591998985,6,5
1592001865,10,49
1592003785,13,31
1592005693,3,19
1592007625,8,8
1592009527,5,3
1592011468,9,9
1592013373,8,3
1592015299,5,5
1592017289,11,13
1592019138,6,14
1592021094,5,3
1592022973,9,10
1592024915,11,12
1592026813,9,9
1592028738,3,13
1592030670,26,12
1592032579,15,8
1592034497,11,8
1592036425,17,5
1592038337,10,7
1592040254,4,98
1592042191,6,4
1592044092,10,13
1592046982,10,12
1592048896,14,9
1592050828,6,5
1592052738,5,5
1592054655,6,5
1592056587,8,7
1592058494,5,6
1592060556,6,8
1592062583,7,9
1592064543,6,12
1592066410,9,7
1592068349,3,8
1592070254,19,7
1592072176,9,7
1592074106,2,6
1592076008,9,10
1592077931,8,5
1592080014,9,9
1592082973,12,16
1592084922,7,11
1592086812,6,9
1592088759,7,8
1592090667,10,9
1592092569,7,3
1592094490,13,10
1592097377,14,10
1592099310,10,10
1592101237,3,4
1592103134,23,8
1592105069,5,6
1592106985,2,6
1592108894,6,10
1592110928,10,11
1592112990,10,9
1592114900,10,3
1592116827,2,22
1592118743,6,19
1592120651,4,12
1592122576,7,11
1592124506,15,11
1592126409,7,7
1592128331,16,3
1592130273,8,13
1592132170,11,5
1592134090,18,12
1592136187,10,11
1592138295,6,5
1592140191,7,4
1592142661,12,10
1592144730,12,6
1592146569,12,6
1592148508,3,7
1592150540,5,9
1592152342,8,5
1592154255,12,6
1592156187,9,7
1592158098,3,20
1592160084,8,4
1592161946,6,11
1592163861,6,6
1592165770,5,8
1592167709,9,5
1592169611,5,6
1592171539,7,9
1592173475,15,4
1592175370,10,7
1592177294,5,6
1592180419,12,13
1592182330,9,16
1592184253,2,11
1592186172,6,4
1592188107,6,7
1592190985,7,21
1592192890,8,3
1592194814,6,6
1592196773,6,11
1592198656,8,7
1592200571,8,8
1592202499,6,8
1592205631,9,9
1592207534,8,6
1592209458,6,8
1592211417,8,10
1592213296,7,8
1592215486,9,18
1592217400,13,10
1592219319,3,18
1592221239,12,10
1592223140,16,6
1592225082,9,5
1592227004,3,11
1592228896,7,6
1592230862,5,13
1592233619,13,13
1592235636,14,3
1592237782,8,6
1592239695,14,10
1592241643,9,12
1592243543,15,7
1592245469,11,3
1592247428,4,9
1592249300,8,3
1592251462,8,9
1592253381,9,8
1592255316,6,6
1592257215,6,5
1592259129,14,18
1592261071,14,6
1592262979,9,9
1592264895,8,9
1592266827,8,5
1592268732,9,8
1592270560,6,3
1592272594,12,6
1592274502,5,4
1592276586,8,6
1592278574,12,5
1592280512,9,2
1592282417,9,7
1592284331,4,10
1592286273,16,10
1592288417,11,6
1592290352,8,6
1592292278,7,5
1592294178,7,6
1592296115,8,6
1592299010,13,9
1592300913,10,8
1592302815,8,9
1592304739,10,12
1592306677,7,5
1592308578,9,16
1592310817,12,13
1592312923,20,5
1592314822,7,6
1592316761,4,4
1592318701,4,7
1592320601,7,8
1592322532,8,13
1592324424,12,7
1592326341,8,16
1592328277,12,7
1592330176,9,15
1592332420,5,14
1592334393,6,8
1592336444,8,6
1592338333,11,7
1592340307,8,8
1592342179,17,6
1592344090,12,7
1592346033,12,17
1592347933,9,11
1592349851,12,5
1592351818,10,10
1592353944,5,6
1592355898,11,11
1592357918,13,8
1592359988,10,9
1592361865,6,6
1592363771,10,5
1592365717,10,14
1592367613,7,8
1592369534,14,10
1592371482,12,10
1592373385,11,13
1592375544,8,11
1592377490,7,6
1592379376,7,12
1592381301,9,3
1592383248,7,10
1592385139,8,11
1592387082,9,7
1592388988,15,8
1592390907,8,10
1592392839,7,6
1592394761,18,9
1592396684,4,10
1592398576,12,18
1592400679,11,9
1592402663,8,5
1592404598,12,7
1592406503,10,5
1592408415,10,5
1592410411,60,14
1592412261,5,11
1592414173,10,9
1592416130,11,10
1592418023,5,3
1592419936,9,8
