DateTime,AddedIPs,RemovedIPs
1591684836,3,1
1591686983,4,1
1591688902,1,1
1591690890,1,0
1591692744,0,2
1591694661,0,1
1591696615,23,2
1591698521,2,1
1591700606,4,1
1591702590,3,0
1591704754,1,1
1591706652,4,5
1591708573,1,3
1591710511,1,2
1591712417,4,2
1591714339,1,2
1591716269,2,2
1591718177,3,3
1591720091,1,1
1591722161,3,1
1591724184,1,1
1591726372,2,3
1591728259,3,1
1591730176,2,3
1591732110,2,1
1591734014,4,2
1591735938,2,0
1591737765,2,2
1591739782,0,1
1591741710,1,1
1591743828,1,1
1591745774,3,1
1591747760,1,1
1591749621,1,1
1591751531,1,4
1591753472,1,5
1591755381,1,3
1591757308,3,0
1591759231,1,0
1591761139,3,3
1591763074,3,1
1591765016,0,2
1591766900,1,0
1591769116,1,2
1591770976,0,4
1591772934,1,4
1591774827,1,1
1591778667,2,1
1591780597,2,0
1591782495,2,2
1591784436,0,22
1591786335,1,2
1591788257,0,5
1591790189,0,2
1591792386,3,1
1591794408,6,4
1591796212,2,1
1591798260,1,4
1591800359,2,1
1591802197,1,0
1591804092,0,5
1591806015,3,0
1591807949,1,4
1591809876,1,1
1591811791,0,1
1591813710,1,4
1591815777,2,1
1591817772,3,2
1591819713,0,2
1591821618,0,4
1591823533,2,2
1591825486,3,1
1591827371,1,1
1591831228,4,2
1591834108,2,3
1591836012,0,1
1591837934,4,1
1591839864,1,1
1591841777,1,1
1591843695,1,3
1591845623,0,1
1591847533,1,3
1591849458,0,2
1591851384,1,1
1591853295,1,1
1591856170,4,1
1591858377,8,0
1591860257,2,1
1591862190,1,1
1591864098,1,1
1591866175,3,2
1591868041,2,2
1591869865,3,1
1591873718,1,1
1591875615,6,0
1591877568,2,0
1591879474,0,6
1591881374,2,5
1591883320,3,1
1591885215,0,1
1591887141,1,2
1591891003,1,0
1591893265,6,3
1591895076,0,1
1591896977,3,1
1591898898,1,0
1591900825,3,2
1591902739,1,2
1591904655,4,2
1591906585,1,0
1591908504,0,1
1591910433,0,1
1591912337,4,3
1591914268,2,1
1591916225,0,1
1591918096,1,3
1591920179,1,2
1591924090,3,4
1591926009,0,1
1591927944,1,1
1591929914,3,1
1591933713,0,1
1591939472,1,2
1591941367,1,4
1591943293,1,6
1591945380,1,2
1591947382,1,2
1591949290,1,1
1591951210,1,1
1591953147,3,3
1591955054,1,3
1591957243,0,2
1591961082,1,3
1591962980,4,5
1591964901,1,1
1591967074,1,2
1591968993,2,2
1591970930,1,1
1591972816,1,0
1591975021,1,1
1591976982,2,1
1591978828,3,4
1591980741,1,2
1591982655,0,2
1591984602,0,2
1591986494,1,2
1591989377,2,2
1591991296,2,4
1591993226,0,1
1591995152,3,0
1591997056,0,1
1591998992,2,3
1592000927,6,2
1592003000,2,0
1592004972,2,2
1592010977,1,3
1592012923,3,0
1592014821,2,2
1592016742,0,2
1592018690,2,0
1592024680,7,0
1592026577,4,1
1592028511,0,1
