DateTime,Entries,UniqueIPs
1591752512,13223,13223
1591754519,12553,12553
1591756355,12557,12557
1591758196,12534,12534
1591760022,12524,12524
1591761895,12551,12551
1591763809,12576,12576
1591765713,12611,12611
1591767618,12747,12747
1591769539,12970,12970
1591771470,13200,13200
1591773374,13445,13445
1591775295,13732,13732
1591777229,13941,13941
1591779139,14070,14070
1591781060,14083,14083
1591782998,14087,14087
1591784921,14070,14070
1591787010,14082,14082
1591788973,15114,15114
1591790931,16176,16176
1591792838,16643,16643
1591794804,17126,17126
1591796664,17822,17822
1591798652,18527,18527
1591800753,19343,19343
1591802657,19910,19910
1591804604,19896,19896
1591806511,19893,19893
1591809618,19904,19904
1591811573,19904,19904
1591813499,19923,19923
1591815373,19934,19934
1591817292,19942,19942
1591819413,19924,19924
1591821377,18746,18746
1591823312,18356,18356
1591825240,18367,18367
1591827135,18352,18352
1591829066,18343,18343
1591830977,18334,18334
1591832894,18335,18335
1591834828,18402,18402
1591836737,18369,18369
1591838663,18364,18364
1591840601,18349,18349
1591842499,18325,18325
1591845379,18310,18310
1591847296,18291,18291
1591849249,18226,18226
1591851195,18180,18180
1591853091,18366,18366
1591855021,18072,18072
1591856902,17786,17786
1591859020,17431,17431
1591860980,17065,17065
1591862913,16785,16785
1591864818,16487,16487
1591866984,16469,16469
1591868895,16466,16466
1591870829,16456,16456
1591872757,16440,16440
1591874661,15678,15678
1591876600,14576,14576
1591878499,14074,14074
1591880670,13479,13479
1591882606,12941,12941
1591884500,12089,12089
1591886438,11432,11432
1591888253,11483,11483
1591890259,11560,11560
1591892198,11574,11574
1591894114,11586,11586
1591896019,11583,11583
1591898143,11581,11581
1591900102,11582,11582
1591902994,11558,11558
1591904902,11565,11565
1591906830,11553,11553
1591908777,11524,11524
1591910686,11520,11520
1591912599,11467,11467
1591914496,11467,11467
1591916728,11451,11451
1591918599,11442,11442
1591920509,11390,11390
1591922424,11405,11405
1591924362,11393,11393
1591926262,11382,11382
1591928179,11373,11373
1591930122,11369,11369
1591932014,11366,11366
1591933968,11367,11367
1591935887,11350,11350
1591937780,11359,11359
1591939704,11074,11074
1591941681,11065,11065
1591943531,11064,11064
1591945393,11048,11048
1591947383,11030,11030
1591949291,11034,11034
1591951211,11030,11030
1591953148,11093,11093
1591955055,11134,11134
1591957244,11132,11132
1591959144,11131,11131
1591961083,11150,11150
1591962981,11151,11151
1591964902,11134,11134
1591967076,11144,11144
1591968994,11167,11167
1591970930,11182,11182
1591972818,11183,11183
1591975022,10045,10045
1591976983,10086,10086
1591978829,10117,10117
1591980751,10125,10125
1591982656,10142,10142
1591984603,10138,10138
1591986494,10144,10144
1591989378,10124,10124
1591991296,10170,10170
1591993227,10161,10161
1591995152,10168,10168
1591997057,10163,10163
1591998993,10162,10162
1592000928,10171,10171
1592003001,10182,10182
1592004973,10197,10197
1592006938,10193,10193
1592008961,10189,10189
1592010978,10186,10186
1592012925,10198,10198
1592014822,10196,10196
1592016743,10194,10194
1592018691,10202,10202
1592020576,10204,10204
1592022520,10215,10215
1592024680,10214,10214
1592026578,10213,10213
1592028511,10210,10210
1592030410,10224,10224
1592032584,10233,10233
1592034502,10248,10248
1592036428,10243,10243
1592038341,10223,10223
1592040259,10135,10135
1592042196,10117,10117
1592044096,10138,10138
1592046987,10140,10140
1592048900,10131,10131
1592050831,10097,10097
1592052741,10085,10085
1592054659,10076,10076
1592056592,10074,10074
1592058499,10075,10075
1592060685,10052,10052
1592062587,10050,10050
1592064548,9963,9963
1592066415,9969,9969
1592068379,9973,9973
1592070259,9974,9974
1592072182,9972,9972
1592074110,9971,9971
1592076012,9955,9955
1592077935,9922,9922
1592080019,9931,9931
1592082977,9942,9942
1592084966,9931,9931
1592086819,9926,9926
1592088765,9899,9899
1592090699,9940,9940
1592092573,9930,9930
1592094494,9927,9927
1592097381,9905,9905
1592099314,9876,9876
1592101241,9881,9881
1592103138,9860,9860
1592105072,9820,9820
1592106989,9845,9845
