DateTime,AddedIPs,RemovedIPs
1591745775,1,1
1591747762,2,4
1591749622,5,3
1591751532,4,3
1591753473,5,2
1591755382,4,5
1591757309,0,2
1591759232,4,4
1591761140,0,3
1591763075,3,3
1591765017,1,1
1591766901,4,1
1591769117,3,4
1591770977,3,1
1591772935,1,3
1591774829,3,1
1591776764,1,3
1591778668,0,3
1591780599,5,4
1591782496,1,2
1591784437,4,3
1591786336,2,6
1591788261,5,3
1591790212,1,4
1591792387,3,3
1591794411,1,2
1591796213,4,2
1591798264,1,1
1591800360,4,3
1591802198,3,1
1591804093,5,3
1591806017,2,1
1591807950,1,5
1591809878,1,4
1591811794,7,2
1591813712,4,3
1591815791,5,2
1591817775,6,3
1591819715,3,5
1591821619,3,3
1591823534,2,7
1591825488,0,3
1591827375,2,1
1591829295,5,5
1591831233,2,0
1591833173,5,1
1591835055,2,3
1591836988,3,6
1591838890,3,5
1591841781,5,6
1591843696,5,0
1591845625,3,4
1591847534,4,0
1591849460,4,3
1591851413,0,1
1591853296,3,4
1591856171,6,3
1591858379,4,4
1591860259,7,0
1591862194,2,3
1591864099,2,1
1591866185,2,2
1591868042,4,4
1591869867,2,3
1591871778,5,2
1591873726,2,6
1591875618,4,2
1591877569,2,1
1591879476,4,2
1591881375,4,1
1591883321,2,4
1591885216,4,1
1591887142,3,5
1591889073,6,4
1591891004,6,3
1591893266,5,2
1591895077,4,2
1591896979,6,1
1591898900,5,7
1591900826,2,5
1591902740,5,4
1591904656,2,5
1591906586,2,4
1591908507,4,2
1591910435,5,2
1591912338,4,1
1591914269,3,1
1591916226,3,6
1591918097,2,1
1591920195,1,6
1591922185,2,3
1591924096,4,1
1591926012,4,6
1591927951,6,2
1591929918,5,5
1591931784,3,3
1591933714,0,3
1591935625,1,4
1591937533,2,1
1591939473,4,3
1591941368,2,4
1591943295,3,3
1591945401,5,7
1591947385,2,4
1591949293,1,2
1591951213,3,2
1591953153,4,3
1591955057,3,2
1591957245,3,5
1591959146,4,2
1591961084,4,4
1591962982,6,3
1591964903,2,4
1591967078,6,4
1591968996,8,1
1591970932,4,4
1591972820,2,5
1591975024,4,4
1591977024,5,6
1591978830,7,6
1591980752,2,3
1591982657,6,6
1591984604,3,4
1591986496,5,4
1591989379,6,6
1591991298,5,2
1591993228,3,2
1591995154,2,4
1591997095,4,5
1591998997,4,4
1592001866,6,6
1592003786,5,1
1592005695,4,2
1592007628,5,0
1592009529,4,3
1592011471,4,3
1592013376,7,7
1592015302,1,5
1592017370,2,5
1592019403,3,1
1592021288,1,1
1592023225,2,2
1592025130,1,3
1592027083,2,2
1592028973,4,2
1592030896,2,3
1592032831,3,6
1592034731,5,0
1592036651,3,4
1592038584,7,0
1592040488,4,6
1592043644,4,4
1592045537,3,4
1592047455,2,4
1592049391,1,6
1592051320,4,2
1592053378,3,6
1592055369,6,8
1592057318,4,4
1592059213,6,2
1592061413,5,4
1592063319,2,5
1592065223,6,7
1592067140,2,2
1592069076,8,6
1592070982,4,3
1592072901,3,5
1592075064,6,5
1592076983,4,3
1592078892,2,5
1592080812,3,2
1592082747,4,4
1592084652,2,3
1592086573,5,4
1592088509,3,8
1592090420,4,1
1592092356,4,5
1592094264,3,4
1592096127,6,6
1592098336,5,3
1592100288,7,6
1592102262,5,2
1592104096,7,1
1592106013,3,3
1592107948,2,1
1592109854,4,2
1592111783,1,2
1592113710,1,2
1592115617,4,3
1592117533,3,2
1592119474,3,3
1592121374,3,5
1592123338,2,4
1592125468,1,6
1592127386,5,4
1592129290,1,3
1592131230,2,1
1592133149,1,5
1592135066,3,1
1592136975,3,3
1592139079,0,2
1592141161,3,7
1592143503,2,4
1592145393,2,6
1592147297,2,4
1592149218,3,3
1592151171,0,3
1592153054,0,6
1592154976,4,4
1592156910,2,7
1592158814,3,3
1592160762,3,4
1592162675,3,5
1592164583,2,4
1592166521,4,3
1592168633,2,4
1592170600,4,1
1592172495,1,5
1592174413,3,4
1592176349,2,4
1592178258,0,4
1592180180,4,2
1592182108,0,4
1592184012,0,7
1592185949,2,6
1592187857,0,6
1592189778,4,6
1592191707,2,5
1592193739,5,0
1592195789,4,4
1592197692,2,2
1592199661,0,2
1592201780,3,2
1592203695,4,5
1592205656,2,3
1592207536,3,3
1592209460,5,1
1592212333,3,3
1592214272,4,5
1592218095,2,2
1592220027,3,2
1592221935,1,4
1592223890,2,1
1592225800,3,1
1592227692,2,3
1592230571,7,2
1592232580,2,2
1592234584,2,3
1592236632,2,1
1592238502,3,0
1592240586,6,2
1592242577,1,3
1592244518,4,4
1592246420,2,2
1592248348,3,2
1592250284,2,3
1592252195,2,4
1592254102,2,3
1592256055,1,4
1592257975,3,0
1592259861,5,2
1592261801,6,3
1592263700,2,1
1592266585,4,4
1592268503,6,0
1592270567,4,0
1592272610,1,2
1592274510,2,0
1592276657,6,4
1592278581,2,2
1592280526,5,6
1592282426,2,3
1592284338,4,2
1592286282,1,0
1592288425,5,3
1592290359,1,5
1592292285,1,2
1592294209,3,2
1592296121,4,5
1592298176,5,2
1592300191,1,4
1592302140,0,1
1592304024,0,2
1592306009,3,2
1592307857,3,1
1592309769,2,3
1592311710,3,3
1592313610,3,0
1592315536,3,6
1592317471,1,4
1592319374,5,1
1592321314,4,3
1592324428,3,4
1592326345,3,3
1592328281,1,4
1592330181,3,3
1592332425,5,2
1592334409,2,4
1592336461,2,2
1592338336,3,2
1592340324,0,2
1592342184,1,1
1592344093,1,2
1592346036,2,5
1592347937,1,7
1592349862,4,2
1592351831,1,3
1592353948,1,3
1592355913,2,8
1592357923,2,0
1592360005,1,2
1592361871,3,5
1592363776,1,3
1592365722,3,5
1592367618,6,3
1592369539,3,2
1592371518,2,2
1592373390,3,3
1592375562,6,3
1592377498,2,2
1592379383,1,0
1592381312,2,4
1592383254,4,5
1592385168,1,4
1592387087,5,0
1592388993,4,0
1592390912,2,0
1592392844,6,3
1592394766,5,3
1592396689,1,2
1592398581,1,3
1592400684,6,4
1592402670,4,2
1592404603,3,3
1592406543,2,3
1592408420,4,4
1592410417,3,2
1592412266,4,1
1592414179,3,4
1592416135,6,3
1592418031,2,4
1592419942,1,3
1592421918,1,2
1592423788,4,1
1592425704,4,2
1592427892,1,1
1592429972,1,1
1592431939,3,1
1592433887,3,1
1592435788,3,4
1592437703,4,2
1592439657,6,1
1592441563,6,0
1592443464,0,4
1592447305,3,2
1592449396,4,3
1592451400,4,3
1592453320,1,4
1592455219,3,3
1592457138,0,4
1592459116,2,3
1592461226,2,2
