DateTime,AddedIPs,RemovedIPs
1591755383,4,9
1591757311,7,8
1591759233,6,5
1591761141,5,5
1591763077,5,11
1591765018,9,11
1591766902,14,12
1591769118,3,8
1591770978,10,9
1591772937,7,7
1591774831,12,7
1591776765,38,10
1591778670,17,4
1591780600,12,6
1591782498,18,8
1591784440,14,9
1591786337,10,9
1591788262,9,6
1591790214,5,10
1591792409,11,4
1591794412,12,10
1591796214,29,11
1591798290,50,10
1591800364,79,8
1591802199,9,90
1591804095,8,9
1591806019,52,3
1591807952,44,0
1591809879,8,4
1591811795,11,5
1591813713,14,13
1591815803,6,37
1591817776,3,1
1591819716,3,0
1591821637,8,7
1591823535,10,2
1591825490,10,2
1591827376,3,6
1591829296,6,3
1591831235,4,5
1591833176,8,5
1591835056,2,8
1591836989,2,9
1591838892,1,8
1591841782,5,7
1591843697,6,8
1591845626,3,2
1591847536,24,6
1591849461,0,8
1591851415,3,8
1591853298,4,14
1591856172,8,10
1591858380,9,7
1591860261,4,6
1591862196,24,21
1591864118,11,29
1591866188,8,18
1591868043,11,9
1591869869,66,15
1591871779,7,12
1591873728,11,4
1591875619,21,14
1591877570,26,4
1591879478,15,9
1591881376,15,9
1591883322,28,50
1591885217,43,39
1591887145,93,65
1591889075,1,7
1591891006,2,5
1591893267,1,83
1591895079,1,7
1591896980,2,7
1591898901,0,11
1591900828,1,6
1591902741,2,1
1591904657,1,8
1591906588,2,8
1591908519,3,9
1591910437,0,14
1591912340,2,6
1591914271,2,5
1591916227,0,4
1591918098,1,2
1591920199,1,4
1591922195,1,4
1591924097,1,3
1591926037,3,4
1591927952,1,2
1591929920,0,7
1591931785,1,1
1591933716,1,30
1591935626,1,5
1591937534,3,9
1591939474,3,3
1591941369,1,8
1591943296,7,5
1591945404,3,6
1591947386,15,19
1591949294,1,10
1591951215,4,11
1591953155,1,5
1591955058,15,44
1591957247,2,33
1591959148,1,5
1591961086,2,5
1591962984,2,5
1591964905,1,7
1591967080,2,6
1591969027,12,4
1591970934,4,26
1591972822,5,35
1591975026,7,90
1591977056,9,4
1591979066,17,1
1591980994,8,0
1591982893,2,2
1591984920,5,0
1591986746,1,0
1591988696,3,0
1591990589,2,0
1591992513,5,5
1591994462,2,1
1591996347,4,2
1591998281,36,3
1592000177,2,2
1592002100,6,1
1592004025,2,0
1592005934,4,0
1592007854,1,0
1592009774,3,1
1592011690,3,1
1592013784,2,2
1592015783,2,0
1592017771,3,0
1592019630,2,3
1592021535,2,1
1592023458,7,3
1592025378,4,2
1592027298,2,0
1592029227,5,3
1592031134,1,139
1592033054,2,2
1592034987,1,15
1592036891,0,4
1592039780,22,1
1592041701,9,19
1592043645,11,1
1592045538,13,3
1592047456,11,2
1592049392,23,3
1592051321,13,0
1592053384,12,3
1592055370,5,4
1592057320,6,3
1592059214,6,3
1592061414,17,4
1592063320,4,1
1592065224,6,18
1592067142,6,8
1592069077,5,3
1592070984,4,2
1592072902,5,2
1592075067,2,3
1592076985,5,1
1592078893,5,1
1592080820,5,1
1592082748,3,2
1592084653,1,38
1592086574,5,1
1592088511,4,5
1592090422,0,3
1592092357,1,3
1592094265,2,3
1592096129,28,2
1592098338,0,3
1592100290,1,2
1592102264,2,2
1592104097,3,3
1592106015,1,1
1592107949,0,1
1592109856,1,6
1592111785,6,5
1592113712,3,3
1592115619,7,8
1592117534,2,2
1592119476,3,2
1592121376,4,2
1592123339,4,0
1592125487,4,9
1592127387,6,6
1592129291,8,7
1592131231,16,10
1592133150,7,9
1592135067,16,8
1592136976,15,25
1592139081,17,10
1592141164,11,8
1592144757,29,10
1592146575,14,16
1592148511,14,5
1592150683,14,9
1592152655,7,9
1592154496,11,7
1592156415,10,8
1592158354,10,6
1592160261,12,6
1592162177,11,4
1592164120,9,3
1592166011,7,4
1592167934,10,4
1592169873,10,4
1592171775,7,3
1592173716,7,5
1592175808,11,2
1592177839,15,1
1592179695,20,3
1592181609,13,18
1592183412,13,11
1592185227,8,1
1592187135,11,1
1592189092,8,3
1592190988,8,0
1592192914,9,1
1592194817,7,0
1592196776,2,2
1592198659,6,6
1592200575,11,4
1592202502,5,3
1592204590,13,1
1592206579,12,3
1592208525,12,6
1592210416,14,5
1592212334,12,7
1592214273,15,3
1592216238,5,7
1592218096,6,7
1592220028,8,6
1592221936,8,11
1592223891,7,17
1592225802,10,9
1592227693,9,9
1592229656,9,8
1592231552,9,9
1592233626,9,15
1592235643,7,8
1592237788,15,6
1592239701,5,10
1592241650,236,4
1592243548,66,6
1592245499,1,3
1592247435,5,4
1592249310,3,5
1592251491,0,4
1592253386,2,2
1592255322,1,7
1592257221,2,5
1592259135,2,3
1592261077,0,4
1592262984,0,8
1592264900,2,10
1592266834,1,22
1592268765,1,14
1592270569,1,5
1592272613,5,6
1592274512,0,5
1592276663,1,8
1592278583,16,6
1592280527,1,6
1592282427,4,2
1592284340,0,4
1592286283,4,8
1592288426,20,8
1592290361,14,6
1592292287,14,8
1592294211,8,8
1592296123,14,6
1592298226,36,9
1592300193,30,9
1592302141,14,4
1592304026,14,5
1592306011,7,5
1592307859,10,2
1592309771,1,9
1592311712,6,5
1592313612,10,11
1592315537,3,9
1592317473,2,5
1592319375,2,8
1592321331,3,9
1592323439,2,13
1592325388,7,9
1592327292,5,18
1592329212,10,369
1592331153,7,7
1592333051,8,10
1592334993,9,5
1592336894,17,5
1592338835,8,5
1592340740,4,2
1592342656,4,5
1592344595,5,6
1592346500,6,6
1592348570,5,4
1592350574,7,5
1592352774,6,7
1592354656,7,4
1592356576,36,3
1592358517,7,6
1592360417,5,4
1592362338,29,1
1592364280,7,17
1592366171,4,4
1592368112,2,4
1592370224,3,2
1592372221,1,2
1592374093,0,20
1592376044,1,15
1592377937,3,9
1592379873,1,13
1592381800,26,11
1592383693,3,24
1592385643,5,49
1592387536,2,11
1592389491,4,18
1592391405,16,17
1592393296,18,14
1592396416,12,12
1592398328,2,12
1592400283,5,13
1592402172,3,1
1592404375,6,4
1592406292,4,0
1592408201,5,3
1592410175,7,1
1592412268,8,6
1592414181,3,6
1592416136,3,9
1592418033,6,6
1592419943,7,5
1592421920,6,5
1592423794,11,21
1592425706,34,7
1592427895,30,5
1592430006,51,10
1592431941,29,4
1592433889,23,7
1592435790,40,6
1592437704,20,6
1592439659,17,9
1592441564,21,14
1592443466,18,36
1592445420,11,8
1592447307,15,24
1592449398,10,19
1592451401,19,12
1592453350,24,9
1592455221,18,12
1592457139,12,1
1592459123,11,0
1592461227,39,0
1592463221,23,2
1592465083,15,4
1592466987,13,11
1592468904,11,15
1592471106,12,1
1592472999,9,3
1592474910,10,6
1592476833,22,2
1592478783,2,27
1592480664,4,5
1592482585,2,7
1592484570,4,1
1592486430,12,2
1592488354,1,2
1592490303,3,3
1592492219,3,2
1592494111,6,4
1592496300,3,4
1592498197,7,5
1592500116,14,1
1592502023,14,1
1592503958,12,4
1592505862,9,5
1592507817,10,5
1592509720,11,2
1592511619,5,20
1592513643,10,15
1592515490,9,13
1592517380,14,35
1592519227,7,16
1592521479,7,27
1592523405,8,26
1592525351,7,16
1592527238,47,13
1592529191,4,12
1592531070,4,10
1592533123,6,10
1592535147,8,7
1592537053,4,11
1592538974,13,17
1592540888,8,18
1592542966,16,8
1592545046,19,16
1592547043,10,24
1592548865,11,30
1592550777,11,17
1592552685,10,23
1592554582,14,11
1592556577,6,13
1592558488,13,10
1592560348,19,10
1592562284,33,25
1592564221,9,6
1592566107,10,2
1592568298,15,3
1592570209,12,2
1592572118,10,6
1592574053,6,10
1592575944,5,0
1592577896,4,1
1592579779,9,2
1592581952,8,4
1592583862,5,5
1592585836,2,13
1592587707,0,11
1592589978,1,14
1592592023,3,11
1592593965,30,16
1592595877,3,11
1592597800,0,9
1592599714,2,7
1592601643,1,13
