DateTime,AddedIPs,RemovedIPs
1589132896,16,14
1589140340,19,13
1589147774,12,31
1589155223,18,42
1589162422,46,45
1589169618,40,18
1589176830,29,11
1589184029,18,16
1589191461,21,16
1589198904,19,16
1589206343,21,17
1589213785,26,20
1589220506,25,4
1589227702,29,0
1589234900,19,36
1589242104,25,25
1589249310,45,48
1589256737,28,33
1589264659,18,11
1589271860,20,31
1589278815,23,14
1589286033,23,16
1589293220,15,36
1589300421,22,25
1589307615,21,15
1589314818,28,28
1589322257,18,21
1589329941,31,0
1589337140,47,85
1589344340,36,47
1589351784,18,19
1589359214,21,18
1589365953,22,27
1589373381,29,0
1589380583,9,26
1589388263,30,23
1589395462,23,24
1589402886,23,32
1589410576,19,27
1589417775,42,22
1589424966,51,64
1589432229,29,27
1589439377,21,16
1589446576,20,21
1589453778,20,21
1589461219,18,20
1589469188,22,19
1589476110,23,23
1589483543,30,19
1589490746,24,17
1589497948,12,26
1589505378,36,34
1589512099,49,47
1589519310,23,21
1589526511,21,11
1589533716,17,25
1589541390,17,16
1589548112,63,22
1589555079,31,28
1589562511,25,24
1589569700,21,16
1589576903,26,27
1589584112,11,23
1589592017,33,44
1589599216,47,36
1589606417,31,29
1589613616,11,12
1589620823,14,21
1589628260,18,23
1589635460,19,19
1589642660,16,15
1589649860,21,20
1589657176,21,20
1589664550,21,18
1589672070,14,25
1589679631,36,52
1589687294,37,43
1589694498,16,13
1589702413,9,9
1589709376,20,19
1589717117,18,17
1589723779,9,20
1589731073,24,17
1589738662,22,25
1589745684,26,24
1589753529,21,8
1589760969,16,34
1589767950,44,46
1589775149,31,31
1589782339,27,12
1589790259,16,15
1589796744,17,16
1589804417,22,13
1589811863,26,11
1589819296,22,30
1589826743,24,10
1589833946,27,15
1589840660,23,15
1589848584,23,19
1589855781,38,52
1589862983,39,33
1589870183,17,12
1589877615,22,17
1589885070,18,19
1589892496,16,17
1589899696,21,22
1589906662,25,12
1589914578,20,42
1589921298,22,0
1589928500,20,15
1589935698,26,29
1589942901,50,46
1589950337,28,32
1589957777,16,19
1589964976,15,21
1589972463,19,20
1589979390,17,24
1589987326,22,19
1589994514,28,18
1590001957,21,38
1590009150,24,0
1590016817,11,63
1590024016,34,57
1590032010,96,33
1590039147,24,13
1590046106,18,17
1590053543,25,23
1590060742,21,18
1590067945,26,22
1590075391,15,20
1590082576,21,20
1590089788,30,25
1590096988,27,15
1590104184,20,14
1590111382,41,77
1590118585,36,22
1590126017,22,17
1590133218,14,21
1590140664,18,17
1590148579,22,19
1590155308,19,25
1590162503,18,30
1590169936,22,16
1590177136,28,19
1590184576,20,32
1590192025,20,35
1590199226,45,49
1590206479,34,23
1590213629,18,117
1590220843,22,0
1590228086,15,26
1590235706,22,17
1590242666,14,21
1590250116,24,21
1590257306,21,20
1590264503,19,19
1590271710,18,44
1590279865,20,50
1590286350,31,0
1590294026,36,55
1590300739,12,0
1590307942,19,11
1590315149,18,24
1590323061,28,15
1590330265,21,19
1590337706,16,44
1590345147,22,28
1590352586,22,0
1590359062,18,24
1590366261,18,33
1590373698,47,50
1590380900,32,35
1590388419,20,17
1590396266,16,19
1590403462,13,13
1590410662,12,24
1590417871,18,16
1590425769,22,29
1590433215,30,25
1590440651,19,14
1590447849,12,23
1590455309,28,30
1590462502,47,48
1590469705,20,25
1590475459,9,6
1590482663,17,20
1590489861,17,14
1590497061,12,16
1590504266,13,13
1590511467,17,17
1590519377,13,20
1590526575,15,25
1590534030,13,20
1590540744,23,45
1590547941,51,43
1590555376,24,26
1590562577,26,15
1590570266,17,23
1590577221,16,20
1590584897,21,21
1590592115,17,13
1590599539,28,22
1590606515,15,23
1590614667,19,20
1590621382,15,29
1590628817,23,48
1590636017,50,34
1590643222,23,16
1590651142,11,17
1590658348,11,22
1590665545,20,13
1590672496,14,20
1590679938,10,16
1590687142,20,24
1590695061,12,19
1590702262,14,14
1590708980,13,30
1590716180,33,48
1590723620,34,36
1590731061,20,19
1590738506,18,11
1590745700,13,12
1590752418,13,16
1590759863,20,19
1590767302,23,25
1590774501,21,25
1590781701,19,27
1590788904,14,26
1590796105,25,40
1590804081,40,52
1590811223,39,30
1590818664,15,12
1590825378,14,17
1590832579,16,11
1590840740,15,22
1590847215,12,23
1590854426,14,20
1590862330,13,22
1590869535,19,21
1590876732,20,0
1590883930,15,30
1590891127,42,49
1590898330,35,98
1590906251,16,8
1590913453,14,11
1590920654,14,15
1590927853,17,19
1590935052,12,18
1590942969,13,16
1590949475,24,16
1590957377,21,26
1590964096,19,19
1590971543,22,33
1590978980,52,41
1590986181,26,23
1590993381,19,14
1591001299,11,15
1591008504,18,25
1591015942,14,18
1591023377,20,9
1591030576,13,19
1591037780,16,23
1591044978,10,24
1591052175,12,18
1591059379,25,33
1591066578,48,56
1591074503,20,23
1591081711,20,10
1591088913,21,12
1591096119,18,18
1591103538,15,20
1591110739,15,14
1591117938,13,17
1591125141,23,28
1591133066,16,18
1591140292,15,17
1591143868,11,41
1591148899,11,0
1591150340,34,44
1591152499,19,0
1591157551,15,18
1591158262,4,0
1591165460,13,11
1591172661,8,13
1591179860,23,22
1591187061,22,16
1591194977,26,28
1591201946,19,0
1591209367,25,20
1591216568,18,23
1591223774,14,16
1591231225,23,20
1591238662,48,69
1591246101,33,48
1591253297,14,0
1591260499,13,11
1591267695,21,22
1591275142,17,13
1591282578,18,20
1591289777,25,16
1591296978,22,20
1591304178,26,15
1591311381,10,19
1591318578,20,35
1591325786,42,49
1591333706,32,33
1591340902,13,11
1591348114,15,27
1591355306,17,19
1591362499,17,17
1591369713,16,15
1591377616,11,22
1591384817,22,24
1591392017,19,34
1591399219,16,19
1591406422,23,46
1591413621,51,39
1591421046,22,30
1591428258,13,11
1591435461,17,15
1591442657,23,17
1591449862,15,21
1591457058,21,11
1591464264,15,18
1591472898,26,27
1591480096,22,17
1591487300,7,19
1591494497,37,55
1591501704,33,35
1591509621,14,21
1591516828,16,13
1591524031,15,22
1591531231,24,19
1591538430,13,17
1591545860,10,17
1591553060,22,24
1591560496,16,21
1591567939,8,16
1591575137,16,29
1591582350,37,47
1591589543,34,31
1591596750,9,8
1591604661,18,16
1591611621,11,14
1591618821,17,12
1591626745,17,16
1591633943,16,19
1591641144,21,24
1591648340,22,19
1591655062,15,21
1591662981,26,39
1591670181,47,48
1591677379,22,24
1591684825,14,9
1591692302,17,16
1591699462,14,15
1591706896,8,10
