DateTime,Entries,UniqueIPs
1591929961,12235,12235
1591932175,12201,12201
1591932859,12200,12200
1591934330,12206,12206
1591935923,12203,12203
1591936460,12207,12207
1591937566,12220,12220
1591939416,12238,12238
1591940061,12236,12236
1591941251,12269,12269
1591943120,12301,12301
1591943655,12302,12302
1591945046,12312,12312
1591946662,12304,12304
1591947252,7967,7967
1591948860,12239,12239
1591950128,12240,12240
1591951825,12208,12208
1591953021,11827,11827
1591954458,11801,11801
1591956061,11648,11648
1591957504,11654,11654
1591959023,11619,11619
1591960395,11530,11530
1591961660,11480,11480
1591963250,11391,11391
1591964721,11391,11391
1591966220,11341,11341
1591968858,11252,11252
1591970141,11248,11248
1591971430,11165,11165
1591972462,11162,11162
1591974415,11065,11065
1591975521,11068,11068
1591977024,10958,10958
1591978927,10938,10938
1591979658,10943,10943
1591981244,10895,10895
1591982722,10905,10905
1591984220,10904,10904
1591986320,10886,10886
1591987462,10859,10859
1591990462,10821,10821
1591991882,10850,10850
1591993521,10794,10794
1591995020,10733,10733
1591996318,10724,10724
1591997660,10731,10731
1592000377,10668,10668
1592001271,10663,10663
1592002849,10604,10604
1592004310,10606,10606
1592004859,10601,10601
1592007921,10589,10589
1592009426,10560,10560
1592011522,10495,10495
1592013119,10480,10480
1592015660,10421,10421
1592016803,10421,10421
1592018723,10360,10360
1592020223,10315,10315
1592021736,10308,10308
1592022856,10332,10332
1592024458,10340,10340
1592025906,10350,10350
1592026457,10324,10324
1592027593,10302,10302
1592028947,10282,10282
1592030195,10271,10271
1592031657,10309,10309
1592033119,10337,10337
1592033658,10306,10306
1592035200,7967,7967
1592036718,10317,10317
1592037818,10316,10316
1592039689,10333,10333
1592040857,10308,10308
1592042227,10307,10307
1592043578,10318,10318
1592045420,10305,10305
1592047505,10297,10297
1592048056,10293,10293
1592049642,10305,10305
1592050939,10315,10315
1592052621,10705,10705
1592055259,10731,10731
1592056859,10758,10758
1592058320,10776,10776
1592058858,10779,10779
1592059959,10783,10783
1592061176,10769,10769
1592062458,10798,10798
1592064047,10797,10797
1592065517,10805,10805
1592066058,10804,10804
1592067653,10798,10798
1592068932,10802,10802
1592070624,10799,10799
1592073256,10783,10783
1592074852,10414,10414
1592076320,10418,10418
1592076858,10392,10392
1592078451,10387,10387
1592079924,10389,10389
1592080459,10384,10384
1592081557,10378,10378
1592083519,10370,10370
1592084056,10364,10364
1592085632,7967,7967
1592087661,10371,10371
1592088934,10477,10477
1592090718,10459,10459
1592091839,10546,10546
1592093372,10524,10524
1592094857,7967,7967
1592096453,10531,10531
1592097923,10534,10534
1592099386,10672,10672
1592102060,10600,10600
1592104505,10771,10771
1592105622,10761,10761
1592107135,10897,10897
1592108624,10903,10903
1592109261,10882,10882
1592110635,10872,10872
1592112861,10810,10810
1592115102,11142,11142
1592116459,11152,11152
1592118047,11295,11295
1592119358,11302,11302
1592120057,11305,11305
1592121349,11418,11418
1592123119,11446,11446
1592124447,11573,11573
1592126721,11580,11580
1592128221,11738,11738
1592129729,11756,11756
1592130858,11761,11761
1592132443,11864,11864
1592133918,11870,11870
1592135517,11965,11965
1592137342,11966,11966
1592138065,11967,11967
1592139643,12069,12069
1592141121,12071,12071
1592142717,12168,12168
1592144523,12183,12183
1592145258,12182,12182
1592146851,12283,12283
1592148322,12307,12307
1592148857,12279,12279
1592150072,12381,12381
1592151304,12367,12367
1592152459,12365,12365
1592154045,12421,12421
1592155441,12434,12434
1592156057,12405,12405
1592157534,12471,12471
1592159120,12582,12582
1592159658,12574,12574
1592161247,12582,12582
1592162694,12585,12585
1592163255,12584,12584
1592164476,12648,12648
1592165976,12651,12651
1592167918,12714,12714
1592169240,12710,12710
1592170597,12708,12708
1592172057,12766,12766
1592173224,12774,12774
1592174062,12769,12769
1592175653,12912,12912
1592177124,12995,12995
1592177657,12964,12964
1592179138,13063,13063
1592180721,13051,13051
1592181256,13050,13050
1592182356,13122,13122
1592183565,13124,13124
1592185040,13138,13138
1592186454,13255,13255
1592187924,13253,13253
1592188461,13248,13248
1592190273,13334,13334
1592191523,13351,13351
1592193024,13385,13385
1592195662,13356,13356
1592197958,13354,13354
1592199476,13372,13372
1592200572,13361,13361
1592201860,13308,13308
1592202864,13300,13300
1592204503,13316,13316
1592205925,13331,13331
1592207087,13318,13318
1592208563,13309,13309
1592210076,13286,13286
1592211240,13299,13299
1592212585,13309,13309
1592213667,13278,13278
1592215125,13282,13282
1592216427,13279,13279
1592217255,13261,13261
1592218562,13288,13288
1592220014,13285,13285
1592220863,13278,13278
1592222320,12989,12989
1592223925,13015,13015
1592224463,12987,12987
1592225959,13298,13298
1592227088,7967,7967
1592228063,13340,13340
1592231121,13755,13755
