DateTime,AddedIPs,RemovedIPs
1591852624,8,71
1591853670,33,7
1591857271,38,54
1591858474,35,2
1591859863,21,75
1591860867,4,11
1591862133,10,3
1591863930,39,17
1591864470,3,13
1591865924,6,115
1591867101,9,3
1591868072,10,22
1591869330,16,1
1591871669,37,140
1591872929,17,4
1591874339,11,63
1591876235,36,13
1591878331,27,47
1591878871,0,21
1591880666,3,35
1591882471,3,5
1591884802,17,75
1591887030,31,39
1591889672,5,76
1591891345,21,64
1591893270,12,9
1591895883,4,55
1591896988,1,6
1591899391,29,49
1591900469,3,27
1591901567,3,55
1591903027,4,7
1591904070,5,103
1591905280,360,70
1591907139,33,59
1591907670,0,9
1591909207,8,43
1591910501,4,4
1591912235,29,33
1591913861,4,45
1591914871,3,30
1591916630,68,58
1591917735,6,3
1591919217,33,59
1591921532,16,53
1591923032,41,8
1591924370,2,59
1591925671,25,9
1591928733,80,74
1591929977,57,15
1591932193,31,65
1591932870,2,4
1591935935,38,34
1591936475,13,9
1591937591,25,13
1591939429,23,4
1591940071,4,5
1591941264,35,4
1591943132,41,10
1591943667,6,5
1591945066,12,3
1591946673,1,8
1591947264,1,9
1591949353,5,62
1591950920,2,37
1591952656,17,392
1591954470,4,29
1591957109,9,160
1591959033,14,46
1591960405,6,95
1591961673,2,49
1591964029,31,120
1591966230,6,57
1591968869,7,97
1591970153,5,11
1591971444,1,83
1591972473,4,6
1591974430,5,102
1591975532,5,2
1591977036,21,130
1591978939,29,49
1591979670,17,13
1591982733,18,57
1591984231,14,14
1591986330,26,44
1591987472,29,56
1591990473,16,58
1591991927,40,70
1591993531,2,0
1591995033,12,73
1591996333,9,17
1591997670,20,14
1592000390,5,70
1592001282,4,8
1592003535,6,56
1592004869,4,8
1592007932,64,82
1592009437,7,35
1592011534,3,68
1592013135,3,18
1592015672,1,61
1592016812,2,2
1592018733,3,66
1592020236,8,54
1592021759,5,13
1592022871,61,34
1592024524,18,10
1592026468,11,25
1592027604,3,25
1592028959,7,27
1592030205,14,25
1592032192,80,27
1592033669,20,36
1592036728,21,11
1592037828,26,26
1592039700,48,31
1592040868,7,33
1592042238,6,6
1592043590,31,21
1592045432,11,24
1592048066,32,44
1592049975,21,4
1592051111,8,0
1592052634,397,6
1592055271,71,47
1592058870,84,36
1592059971,10,6
1592061193,9,23
1592062469,44,15
1592064081,6,6
1592066068,6,2
1592067811,4,8
1592068944,4,2
1592070637,17,26
1592073266,13,19
1592075270,11,379
1592076598,5,29
1592076869,5,0
1592080471,11,23
1592081568,22,28
1592083530,3,10
1592084067,0,5
1592085795,86,67
1592087672,2,14
1592088947,111,5
1592090729,11,26
1592091859,127,40
1592093391,3,26
1592094872,4,4
1592099398,258,110
1592102071,16,86
1592104526,215,43
1592105634,7,16
1592107152,170,34
1592108637,11,5
1592109274,2,23
1592110649,6,16
1592112872,12,70
1592115113,347,20
1592116469,11,1
1592118423,161,14
1592120068,7,0
1592121370,119,5
1592123130,40,14
1592124458,132,6
1592126732,15,8
1592128237,183,23
1592129749,23,6
1592130870,7,3
1592133930,148,39
1592135532,98,4
1592137352,11,11
1592138076,9,7
1592141133,118,12
1592142731,101,8
1592144543,19,6
1592145269,3,4
1592148869,171,76
1592150083,114,12
1592151324,3,16
1592152469,17,18
1592154552,82,15
1592156070,4,31
1592157546,112,42
1592159131,123,11
1592159669,2,8
1592163267,61,51
1592164486,74,10
1592166001,30,27
1592167934,100,35
1592169263,6,10
1592170607,6,7
1592173237,73,9
1592174073,3,8
1592175957,261,30
1592177669,9,41
1592179154,101,6
1592180732,14,27
1592181268,8,9
1592182369,78,7
1592183579,6,3
1592185052,27,9
1592187935,122,10
1592188475,2,7
1592190285,100,14
1592191534,19,2
1592193038,101,68
1592195675,10,35
1592197971,7,9
1592199531,25,7
1592201866,13,76
1592202882,22,32
1592204531,40,23
1592205938,19,4
1592207102,11,23
1592208585,13,22
1592210103,17,40
1592211262,14,1
1592212623,11,1
1592213683,5,34
1592215146,9,4
1592216443,3,5
1592217267,6,25
1592218587,29,2
1592220032,11,14
1592220879,5,13
1592222340,18,304
1592223938,28,13
1592224474,1,30
1592225973,360,46
1592227106,77,14
1592228074,15,39
