DateTime,AddedIPs,RemovedIPs
1591991870,86,27
1591993503,67,105
1591995005,134,159
1591996306,74,77
1591997643,81,146
1591999251,53,144
1592000364,38,0
1592001254,45,82
1592002794,75,137
1592003920,44,7
1592004844,42,102
1592006451,97,173
1592007905,179,0
1592009406,446,135
1592011504,869,107
1592013106,240,115
1592015645,212,207
1592016787,353,38
1592018704,150,117
1592020205,65,131
1592021721,45,76
1592022837,102,98
1592024397,60,83
1592025528,36,4
1592026443,38,127
1592027574,64,49
1592028931,51,58
1592030182,50,104
1592031607,89,101
1592033104,54,16
1592033643,16,103
1592035195,85,83
1592036704,40,10
1592037806,50,169
1592039674,84,137
1592040843,45,186
1592042212,48,49
1592043567,70,118
1592045404,73,159
1592046045,21,126
1592047500,0,20783
1592048043,20731,0
1592049592,56,65
1592050909,44,3
1592052606,346,73
1592055244,120,111
1592056846,82,87
1592058304,56,0
1592058844,21,69
1592059947,39,35
1592061163,51,55
1592062445,81,85
1592063992,43,64
1592065503,75,4
1592066043,31,70
1592067597,56,63
1592068918,36,8
1592070606,51,106
1592073243,77,103
1592074797,52,437
1592076304,41,9
1592076843,10,98
1592078391,51,96
1592079904,47,3
1592080443,23,69
1592081545,49,46
1592083503,86,68
1592084043,26,72
1592085592,149,125
1592087645,120,78
1592088920,178,31
1592090703,126,79
1592091826,146,143
1592093359,37,56
1592094844,46,60
1592096395,137,157
1592097904,67,6
1592099371,184,111
1592102043,70,221
1592103645,207,111
1592104813,56,0
1592106605,189,113
1592108609,68,76
1592109244,20,74
1592110619,49,32
1592112843,70,195
1592114407,344,120
1592115904,74,5
1592116443,12,89
1592117993,173,76
1592119345,48,4
1592120043,21,89
1592121336,140,40
1592123104,127,73
1592124435,150,109
1592126705,66,48
1592128204,207,78
1592129709,65,43
1592130844,28,59
1592132391,157,124
1592133905,54,7
1592135505,142,111
1592137331,77,110
1592138043,77,86
1592139592,147,78
1592141105,42,9
1592142704,133,105
1592144498,67,63
1592145243,28,52
1592146792,163,94
1592148305,69,4
1592148843,27,115
1592150060,399,32
1592151291,252,53
1592152443,154,90
1592153992,184,117
1592155426,121,7
1592156044,38,69
1592157522,150,90
1592159104,202,10
1592159643,30,60
1592161195,203,108
1592162681,148,4
1592163243,42,65
1592164463,139,41
1592165951,120,150
1592167904,271,105
1592169225,108,44
1592170583,128,53
1592171991,207,78
1592173208,133,18
1592174044,100,70
1592175592,260,77
1592177106,181,20
1592177643,28,107
1592179125,156,95
1592180703,76,36
1592181243,22,87
1592182344,127,29
1592183552,84,54
1592185026,100,90
1592186390,174,142
1592187903,72,21
1592188444,31,97
1592190009,146,66
1592191504,70,3
1592193004,142,137
1592195644,122,100
1592197194,72,107
1592198704,67,5
1592200208,51,88
1592201844,77,80
1592202845,60,75
1592204460,102,89
1592205904,82,2
1592207068,62,83
1592208543,83,43
1592210048,122,94
1592211222,86,22
1592212570,95,37
1592213648,63,75
1592215070,66,25
1592216189,45,29
1592217248,0,24354
1592218531,24402,0
1592219995,81,45
1592220847,39,68
1592222458,190,580
1592223908,147,4
1592224446,37,649
1592225946,374,649
1592227084,148,14
1592228045,81,95
1592229597,488,78
1592231104,143,8
1592233736,762,431
1592235248,113,97
1592236460,197,41
1592238304,144,49
1592238843,48,47
1592240390,214,72
1592241903,166,4
1592242443,43,54
1592243994,226,46
1592245489,129,4
1592246854,244,76
1592249104,456,42
1592250232,191,76
1592251633,127,68
1592253244,144,49
1592254788,186,109
1592256132,151,14
1592256843,43,97
1592258454,0,26148
1592259905,26244,0
1592260446,37,110
1592261991,134,96
1592263190,110,5
1592264043,34,42
1592265592,140,71
1592267106,74,12
1592268607,142,118
1592269853,68,50
1592271244,67,34
1592272790,182,101
1592274306,64,9
1592275807,122,81
1592277904,91,90
1592279403,168,55
1592282043,145,104
1592283419,63,40
1592285106,83,157
1592285645,53,80
1592287195,258,113
1592288350,90,2
1592289244,169,59
1592290795,200,125
1592292307,113,21
1592293462,80,112
1592294718,178,120
1592296446,107,54
1592297993,214,150
1592299379,101,9
1592300044,45,55
1592301597,202,128
1592303071,81,6
1592303642,41,78
1592305197,0,27613
1592306705,27754,0
1592307990,142,178
1592310304,593,77
1592311806,209,118
1592314445,532,99
1592315996,337,142
1592317504,234,6
1592318044,67,59
1592319154,218,16
1592320590,310,129
1592321644,157,88
1592323078,308,54
1592324703,134,76
1592325243,69,64
1592326791,117,104
1592328304,47,9
1592328843,22,113
1592330393,114,117
1592331786,41,10
1592332444,46,59
1592333990,122,100
1592335506,63,8
1592336911,92,158
1592338104,46,142
1592339665,61,117
1592341190,117,178
1592342704,68,10
1592344146,141,155
1592346843,111,253
1592348398,194,156
1592349904,53,10
1592351380,82,103
1592353504,115,126
1592354044,29,59
1592355597,91,217
1592357104,63,5
1592358605,76,88
1592361244,109,213
1592362795,77,152
1592363979,73,4
1592364846,52,69
1592366230,46,20
1592367792,62,47
1592368446,22,63
1592369997,64,35
1592371505,76,3
1592373008,79,105
1592374131,42,72
1592375644,68,76
1592377193,81,84
1592378706,98,11
1592379244,34,128
1592380456,48,31
1592382304,140,67
1592383806,96,93
1592386443,140,115
1592387690,72,24
1592388797,52,72
1592390048,68,66
1592391359,82,23
1592393104,102,84
1592393645,34,119
1592394933,82,27
1592396705,84,266
1592398206,77,115
1592400845,156,445
1592402175,53,35
1592403906,89,270
1592404443,18,181
1592406059,73,155
1592407503,53,2
1592408043,27,83
1592409417,66,49
1592411644,82,271
1592413189,57,195
1592414704,59,9
1592415907,37,199
1592417281,55,230
1592418844,54,246
1592420399,77,181
1592421905,79,13
1592422443,22,124
1592423871,76,18
1592425505,84,143
1592426045,26,148
1592427587,0,27694
1592429104,27737,0
1592429643,28,96
1592430997,95,41
1592433243,125,226
1592434543,102,16
1592436306,78,142
1592436845,21,58
1592438393,84,189
1592439906,68,6
1592440443,14,82
1592441992,116,204
1592443505,82,8
1592444044,39,74
1592445593,82,146
1592446888,109,4
1592447644,37,87
1592449193,98,210
1592450704,73,3
1592451247,46,88
1592452772,122,79
1592454309,76,6
1592454848,19,88
1592456390,79,317
1592457906,61,42
1592458444,20,179
1592459990,87,309
1592462048,97,94
1592463277,71,1
1592464451,61,270
1592465738,70,78
1592467001,71,56
1592468708,98,240
1592469986,88,97
1592472231,98,230
1592473426,49,153
1592474790,51,172
1592476444,262,137
1592477992,216,492
1592479506,73,40
1592480045,23,380
1592481598,130,430
1592483106,51,31
1592484518,42,345
1592486705,81,527
1592488206,47,443
1592490304,61,414
1592491765,141,393
1592492952,132,533
1592494443,60,228
1592496000,121,276
1592497437,394,6
1592498044,126,55
1592499591,244,210
1592501106,241,6
1592501645,69,80
1592503190,313,270
1592504703,263,6
1592506299,341,91
1592508843,481,303
1592510390,341,255
1592511905,143,5
1592552046,1830,2736
1592553355,40,32
1592555073,58,76
1592556216,64,127
1592558706,94,83
1592560205,46,109
1592561326,31,93
1592562466,34,0
1592563807,48,188
1592565308,82,65
1592566668,75,83
1592569506,78,74
1592571004,61,139
1592573643,145,129
1592577244,161,157
1592579608,144,93
1592580845,70,90
1592582459,53,71
1592584444,86,60
1592585657,38,23
1592587506,59,48
1592588045,20,75
1592589661,100,90
1592591104,44,1
1592591645,19,73
1592593250,70,97
1592594704,98,0
1592595243,27,86
1592596644,49,24
1592598305,55,123
1592598847,25,92
1592600388,51,128
1592601903,48,5
1592602443,13,105
1592603709,39,66
1592604949,54,83
1592607005,79,116
1592608261,74,86
1592610604,73,106
1592612441,124,119
1592613246,56,103
1592614858,142,112
1592616034,85,1
1592616843,74,128
1592617966,107,33
1592619903,155,103
1592620444,12,109
1592622057,65,174
1592623504,104,0
1592624045,18,110
1592627648,104,183
1592631247,85,217
1592632450,36,24
1592634303,59,74
1592634846,21,109
1592636452,48,117
1592637589,25,1
1592638904,59,119
1592640055,33,121
1592641182,40,0
1592642043,22,92
1592643655,44,85
1592645106,65,0
1592645643,11,217
1592647256,62,319
1592648703,66,0
1592649244,14,114
1592650845,73,166
1592652304,82,0
1592652845,11,75
1592654458,50,104
1592656443,90,58
1592658050,64,62
1592659504,43,0
1592661004,70,90
1592662870,69,250
1592663647,18,67
1592665249,76,142
1592667244,88,122
1592668855,55,141
1592670304,94,0
1592670844,19,102
1592672457,800,141
1592673903,125,0
1592675404,509,131
1592677503,123,129
1592678043,23,115
1592679171,95,55
1592680431,81,115
1592682726,162,148
1592684704,97,83
1592685244,24,79
1592686848,107,85
1592688304,56,0
1592688843,23,106
1592691905,225,79
1592693404,137,80
1592696046,141,135
1592697228,119,19
1592698705,74,72
1592699644,31,65
1592701257,127,69
1592702424,64,0
1592703244,32,73
1592704859,96,90
1592706304,58,1
1592706844,23,64
1592708086,89,22
1592712089,107,278
1592713504,54,2
1592714654,76,134
1592717643,97,123
1592718954,54,19
1592720700,84,54
1592721243,12,73
1592722851,95,64
1592724304,57,4
1592724845,22,69
1592726112,64,33
1592727261,72,70
1592728446,48,81
1592729800,39,38
1592730983,34,45
1592732043,33,65
1592733655,65,68
