DateTime,Entries,UniqueIPs
1591889667,3614,3614
1591891259,3572,3572
1591893265,3563,3563
1591895877,3528,3528
1591896982,3513,3513
1591898453,3475,3475
1591900463,3452,3452
1591901562,3449,3449
1591903015,3417,3417
1591904064,3407,3407
1591905274,3360,3360
1591907132,3373,3373
1591907663,3366,3366
1591909189,3352,3352
1591910496,3366,3366
1591912229,3380,3380
1591913852,3390,3390
1591914866,3396,3396
1591916619,3409,3409
1591917726,3422,3422
1591919207,3405,3405
1591921526,3417,3417
1591923025,3408,3408
1591924363,3396,3396
1591925666,3406,3406
1591927261,3419,3419
1591928727,3440,3440
1591929966,3429,3429
1591932180,3455,3455
1591932864,3447,3447
1591935929,3481,3481
1591936466,3478,3478
1591937579,3487,3487
1591939423,3500,3500
1591940066,3497,3497
1591941258,3490,3490
1591943127,3502,3502
1591943661,3501,3501
1591945055,3548,3548
1591946668,3596,3596
1591947258,3585,3585
1591949343,3588,3588
1591950905,3609,3609
1591952401,3629,3629
1591953911,3660,3660
1591954463,3661,3661
1591957103,3657,3657
1591959027,3654,3654
1591960400,3661,3661
1591961665,3654,3654
1591963260,3620,3620
1591964726,3638,3638
1591966225,3520,3520
1591968863,3384,3384
1591970147,3359,3359
1591971436,3295,3295
1591972467,3232,3232
1591974420,3170,3170
1591975527,3175,3175
1591977030,3166,3166
1591978933,3166,3166
1591979665,3150,3150
1591981254,3155,3155
1591982728,3173,3173
1591984225,3186,3186
1591986324,3193,3193
1591987467,3174,3174
1591990467,3175,3175
1591991887,3191,3191
1591993525,3192,3192
1591995026,3191,3191
1591996322,3178,3178
1591997665,3148,3148
1592000382,3167,3167
1592001275,3152,3152
1592002855,3156,3156
1592004316,3190,3190
1592004864,3145,3145
1592007927,3142,3142
1592009431,3119,3119
1592011528,3151,3151
1592013124,3176,3176
1592015666,3201,3201
1592016807,3231,3231
1592018728,3282,3282
1592020229,3272,3272
1592021748,3256,3256
1592022864,3242,3242
1592024511,3224,3224
1592026462,3192,3192
1592027599,3192,3192
1592028953,3190,3190
1592030200,3160,3160
1592032186,3132,3132
1592033663,3106,3106
1592035253,3082,3082
1592036723,3092,3092
1592037822,3011,3011
1592039695,2959,2959
1592040862,2880,2880
1592042233,2859,2859
1592043583,2809,2809
1592045426,2738,2738
1592048061,2599,2599
1592049649,2581,2581
1592050942,2584,2584
1592052627,2507,2507
1592055265,2523,2523
1592058865,2523,2523
1592059965,2522,2522
1592061181,2528,2528
1592062463,2513,2513
1592064052,2516,2516
1592065522,2555,2555
1592066063,2546,2546
1592067658,2537,2537
1592068938,2544,2544
1592070630,2523,2523
1592073261,2536,2536
1592075264,2528,2528
1592076540,2544,2544
1592076863,2526,2526
1592078457,2505,2505
1592079929,2515,2515
1592080465,2502,2502
1592081562,2504,2504
1592083524,2524,2524
1592084062,2511,2511
1592085764,2525,2525
1592087667,2579,2579
1592088939,2616,2616
1592090723,2665,2665
1592091845,2608,2608
1592093382,2605,2605
1592094866,2582,2582
1592097929,2602,2602
1592099392,2560,2560
1592102065,2515,2515
1592104510,2484,2484
1592105628,2458,2458
1592107141,2433,2433
1592108630,2447,2447
1592109266,2434,2434
1592110643,2439,2439
1592112866,2406,2406
1592115108,2339,2339
1592116463,2293,2293
1592118054,2257,2257
1592119363,2267,2267
1592120063,2232,2232
1592121353,2215,2215
1592123124,2201,2201
1592124452,2152,2152
1592126727,2146,2146
1592128229,2134,2134
1592129738,2133,2133
1592130864,2121,2121
1592132451,2095,2095
1592133924,2109,2109
1592135521,2083,2083
1592137347,2093,2093
1592138069,2092,2092
1592139654,2083,2083
1592141127,2095,2095
1592142722,2082,2082
1592144536,2082,2082
1592145263,2076,2076
1592146858,2065,2065
1592148328,2082,2082
1592148864,2068,2068
1592150076,2068,2068
1592151312,2064,2064
1592152463,2056,2056
1592154052,2030,2030
1592155446,2038,2038
1592156064,2025,2025
1592157539,2001,2001
1592159125,2010,2010
1592159663,1996,1996
1592161252,1979,1979
1592162700,1989,1989
1592163261,1968,1968
1592164481,1953,1953
1592165989,1942,1942
1592167923,2022,2022
1592169248,2090,2090
1592170602,2144,2144
1592173230,2259,2259
1592174067,2276,2276
1592175951,2285,2285
1592177662,2280,2280
1592179144,2261,2261
1592180726,2257,2257
1592181263,2215,2215
1592182363,2204,2204
1592183573,2185,2185
1592185045,2153,2153
1592186459,2085,2085
1592187930,2092,2092
1592188468,2053,2053
1592190277,2032,2032
1592191528,2041,2041
1592193031,2030,2030
1592195669,2043,2043
1592197965,2040,2040
1592199483,2036,2036
1592200801,2028,2028
1592202873,2037,2037
1592204511,2045,2045
1592205931,2058,2058
1592207095,2052,2052
1592208571,2068,2068
1592210087,2075,2075
1592211249,2083,2083
1592212590,2092,2092
1592213675,2096,2096
1592215134,2101,2101
1592216434,2108,2108
1592217260,2117,2117
1592218569,2126,2126
1592220024,2136,2136
1592220872,2142,2142
1592222326,2149,2149
1592223930,2167,2167
1592224469,2160,2160
1592225964,2135,2135
1592227100,2159,2159
1592228067,2150,2150
1592231126,2161,2161
1592233764,2180,2180
1592235271,2167,2167
1592236478,2160,2160
1592238325,2178,2178
1592238865,2175,2175
1592240459,2214,2214
1592241924,2321,2321
1592244053,2380,2380
1592245513,2460,2460
1592246872,2485,2485
1592249130,2617,2617
1592250253,2634,2634
1592251653,2672,2672
1592253271,2691,2691
1592254854,2663,2663
1592256171,2671,2671
1592256862,2618,2618
1592258461,2567,2567
1592259930,2577,2577
1592260467,2533,2533
1592262060,2527,2527
1592263219,2583,2583
1592264064,2587,2587
1592265658,2572,2572
1592267128,2592,2592
1592268632,2559,2559
1592271266,2588,2588
1592272858,2614,2614
1592274326,2635,2635
1592275833,2622,2622
1592277928,2638,2638
1592279431,2630,2630
1592282070,2653,2653
1592283446,2673,2673
1592285131,2677,2677
1592285673,2676,2676
1592287739,2675,2675
1592289269,2694,2694
1592291035,2723,2723
1592292330,2745,2745
1592293488,2747,2747
1592294738,2750,2750
1592296473,2770,2770
1592298299,2778,2778
1592300070,2791,2791
1592303665,2826,2826
1592305259,2831,2831
1592306736,2861,2861
1592308020,2864,2864
1592310330,2877,2877
1592311837,2901,2901
1592314470,2970,2970
1592318072,3025,3025
1592319186,3025,3025
1592320612,3076,3076
1592321667,3105,3105
1592323126,3136,3136
1592324726,3203,3203
1592325261,3214,3214
1592326857,3219,3219
1592328323,3226,3226
1592328866,3217,3217
1592330449,3217,3217
1592331806,3240,3240
1592332469,3241,3241
1592334043,3240,3240
1592335524,3256,3256
1592336931,3194,3194
1592338125,3148,3148
1592339689,3080,3080
1592341245,3019,3019
1592344166,2940,2940
1592346869,2935,2935
1592348519,2917,2917
1592349928,2926,2926
1592351403,2907,2907
1592353528,2920,2920
1592354068,2926,2926
1592355658,2951,2951
1592357133,2974,2974
1592358628,2991,2991
1592361264,3010,3010
1592364003,3053,3053
1592364867,3080,3080
1592366252,3100,3100
1592367812,3117,3117
1592368467,3121,3121
1592371529,3179,3179
1592373029,3196,3196
1592374152,3206,3206
1592375668,3207,3207
1592377475,3203,3203
1592379270,3218,3218
1592380477,3219,3219
1592382327,3231,3231
1592383835,3227,3227
1592386468,3215,3215
1592387715,3206,3206
1592388817,3220,3220
1592390070,3238,3238
1592391384,3272,3272
1592393127,3309,3309
1592393670,3306,3306
1592394956,3335,3335
