DateTime,AddedIPs,RemovedIPs
1591858470,4,7
1591859858,6,4
1591860863,1,8
1591862128,7,2
1591863927,13,8
1591864467,1,4
1591865920,5,11
1591867097,3,7
1591868068,7,6
1591869327,4,6
1591871664,5,10
1591872926,6,7
1591874336,2,9
1591876230,3,5
1591878327,3,5
1591878867,3,5
1591880658,12,8
1591882467,3,4
1591884798,10,7
1591887026,2,10
1591889668,2,5
1591891340,4,3
1591893266,10,2
1591895878,7,7
1591896984,3,3
1591898461,1,7
1591900464,5,4
1591901564,4,0
1591903020,5,5
1591904066,3,3
1591905276,4,6
1591907134,11,8
1591907665,1,6
1591909197,3,8
1591910497,3,4
1591912231,7,10
1591913854,5,8
1591914868,2,2
1591916625,10,4
1591919211,13,13
1591921528,16,12
1591923027,3,8
1591924365,2,4
1591925668,9,3
1591928729,13,11
1591929968,5,9
1591932183,5,9
1591932866,6,5
1591935930,14,15
1591936468,2,3
1591937582,6,4
1591939425,11,10
1591940068,10,6
1591941260,8,4
1591943128,6,11
1591943663,3,6
1591945057,4,8
1591946670,14,9
1591947260,3,4
1591949346,5,12
1591950908,4,2
1591952404,3,3
1591953914,3,7
1591954465,2,4
1591957105,9,5
1591959029,5,4
1591960401,6,3
1591961667,7,5
1591964025,20,4
1591966227,12,7
1591968865,552,9
1591970149,1,30
1591971440,4,35
1591974421,11,55
1591975528,9,17
1591977032,5,30
1591978935,7,25
1591979667,7,23
1591982729,12,42
1591984227,3,14
1591986326,6,29
1591987469,3,16
1591990469,15,42
1591991922,5,25
1591993527,5,22
1591995028,1,12
1591996328,3,13
1591997666,7,10
1592000384,18,22
1592001277,2,10
1592003529,8,35
1592004866,10,14
1592007929,7,19
1592009433,9,10
1592011530,7,13
1592013128,7,19
1592015668,9,14
1592016809,8,4
1592018730,10,12
1592020231,3,13
1592021756,2,9
1592022866,10,7
1592024515,9,14
1592026464,5,13
1592027601,5,3
1592028955,7,3
1592030201,14,9
1592032188,21,15
1592033665,3,12
1592036725,9,16
1592037824,5,4
1592039697,1,13
1592040864,1,5
1592042234,2,7
1592043586,6,6
1592045428,7,13
1592048063,10,7
1592049661,6,5
1592050946,3,7
1592052630,15,7
1592055267,4,17
1592058866,14,7
1592059967,6,4
1592061187,3,5
1592062465,8,1
1592064061,12,9
1592065524,3,4
1592066065,0,8
1592068940,11,15
1592070632,11,5
1592073262,3,8
1592075266,12,7
1592076542,6,6
1592076865,1,1
1592078459,2,10
1592079931,3,4
1592080467,2,3
1592081564,11,3
1592083525,11,6
1592084063,1,6
1592085777,8,3
1592087668,8,11
1592088942,2,14
1592090725,4,6
1592091853,1,1
1592093386,7,4
1592094868,8,4
1592097931,6,15
1592099393,1,6
1592102067,8,7
1592104517,12,8
1592105629,0,6
1592107144,7,6
1592108633,8,1
1592109268,2,3
1592110645,5,3
1592112868,11,5
1592115109,15,6
1592116465,4,10
1592118420,9,7
1592120064,14,7
1592121360,4,6
1592123126,8,2
1592124454,10,3
1592126729,7,11
1592128231,11,10
1592129740,6,16
1592130866,2,7
1592132459,1,5
1592133926,1,6
1592135526,6,6
1592137349,7,76
1592138072,2,34
1592141129,13,11
1592142725,4,3
1592144538,3,3
1592145265,3,0
1592148865,2,8
1592150078,7,6
1592151316,13,5
1592152465,1,11
1592154549,1,3
1592156066,4,3
1592157540,5,3
1592159127,9,4
1592159665,3,3
1592161255,11,6
1592162703,15,11
1592163263,0,5
1592164483,0,7
1592165993,9,2
1592167928,16,4
1592169251,14,2
1592170603,3,10
1592173231,4,17
1592174069,1,3
1592175953,4,5
1592177664,1,7
1592179148,5,3
1592180728,12,5
1592182365,6,8
1592183575,2,7
1592185048,5,7
1592187931,10,6
1592188470,1,3
1592190280,8,4
1592191530,11,2
1592193033,10,6
1592195671,17,10
1592197967,9,15
1592199516,5,12
1592201861,13,8
1592202875,0,4
1592204514,1,8
1592205933,3,9
1592207098,2,3
1592208574,8,6
1592210089,3,5
1592211256,4,2
1592212605,3,8
1592213677,4,4
1592215140,2,4
1592216437,10,4
1592217262,5,4
1592218572,5,8
1592220027,2,5
1592220874,2,0
1592222333,2,3
1592223932,8,2
1592224471,2,3
1592225966,6,6
1592227102,0,10
1592228069,2,3
1592231157,11,7
1592233766,7,7
1592235275,4,6
1592236480,9,1
1592238326,5,5
1592238866,1,2
1592240642,2,4
1592244059,14,8
1592245515,3,7
