DateTime,AddedIPs,RemovedIPs
1591939412,25,35
1591940055,10,47
1591941244,22,20
1591943114,27,40
1591943651,8,30
1591945038,29,16
1591946656,19,41
1591948814,37,49
1591950120,14,8
1591951818,19,34
1591953016,23,23
1591954454,21,29
1591956013,25,27
1591957143,17,6
1591959014,32,32
1591960390,20,22
1591961653,73,43
1591963216,15,41
1591964717,26,12
1591966214,19,68
1591968854,32,820
1591970138,51,71
1591971423,50,194
1591972454,39,317
1591974058,45,376
1591975515,51,11
1591977017,50,442
1591978921,60,267
1591979651,35,88
1591981203,61,41
1591982715,35,16
1591984214,40,33
1591986315,40,21
1591987456,28,39
1591990457,77,60
1591991878,41,14
1591993515,45,21
1591995013,33,36
1591996314,25,21
1591997652,37,33
1592000374,55,45
1592001265,28,33
1592002809,56,36
1592003928,31,7
1592004852,22,39
1592007914,58,34
1592009415,142,38
1592011516,59,26
1592013115,33,40
1592015655,61,54
1592016798,8,24
1592018716,45,28
1592020217,31,31
1592021730,28,29
1592022847,33,37
1592024408,34,40
1592025537,20,6
1592026453,22,51
1592027584,18,12
1592028943,16,24
1592030190,29,44
1592031620,24,47
1592033114,21,4
1592033654,14,31
1592036714,79,39
1592037814,15,35
1592039684,27,15
1592040852,23,40
1592042222,32,15
1592043575,29,26
1592045413,47,49
1592046053,12,19
1592048051,44,26
1592049601,28,34
1592050928,30,4
1592052614,32,47
1592055253,44,34
1592056854,22,28
1592058313,12,3
1592058852,7,23
1592059956,15,20
1592061173,22,14
1592062453,18,23
1592064006,25,36
1592065513,22,3
1592066052,12,20
1592067616,32,24
1592068925,18,5
1592070615,26,39
1592073252,28,43
1592074815,30,35
1592076314,17,11
1592076853,1,14
1592078408,29,27
1592079918,23,3
1592080453,15,32
1592081553,15,16
1592083514,36,33
1592084051,12,23
1592085611,17,35
1592087655,39,28
1592088931,29,15
1592090711,39,24
1592091834,16,40
1592093368,25,25
1592094855,26,28
1592096407,22,26
1592097915,25,2
1592099380,28,34
1592102054,25,59
1592103658,19,37
1592104823,13,4
1592106615,20,38
1592108620,27,30
1592109254,11,25
1592110628,22,17
1592112853,34,49
1592115097,22,38
1592116452,16,23
1592118005,19,23
1592119354,30,14
1592120052,9,33
1592121345,19,18
1592123114,46,32
1592124443,18,45
1592126715,27,30
1592128213,21,38
1592129718,31,22
1592130853,15,33
1592132404,17,58
1592133914,23,4
1592135513,33,32
1592137339,23,23
1592138057,8,24
1592139603,22,40
1592141114,23,12
1592142712,21,42
1592144516,21,27
1592145253,10,33
1592146804,13,30
1592148315,18,5
1592148853,27,47
1592150068,277,17
1592151299,229,22
1592152454,131,26
1592154004,102,20
1592155437,87,4
1592156053,30,15
1592157530,36,18
1592159115,55,11
1592159651,24,20
1592161205,147,41
1592162690,127,16
1592163252,34,14
1592164472,67,4
1592165969,60,34
1592167914,64,46
1592169234,31,31
1592170593,57,25
1592172005,73,40
1592173220,62,8
1592174053,47,28
1592175608,60,14
1592177118,70,3
1592177652,18,17
1592179133,41,30
1592180715,44,22
1592181252,9,21
1592182352,44,7
1592183561,60,18
1592185036,60,26
1592186408,44,26
1592187917,43,13
1592188455,21,16
1592190058,40,31
1592191514,39,13
1592193016,44,44
1592195655,83,53
1592197208,54,34
1592198718,42,5
1592200219,34,46
