DateTime,AddedIPs,RemovedIPs
1591713380,4,6
1591715296,21,0
1591717211,20,12
1591719142,8,9
1591721048,7,12
1591722968,28,10
1591724901,19,26
1591726810,36,13
1591728730,29,24
1591730660,8,17
1591732567,33,5
1591734486,16,18
1591736423,34,15
1591738697,30,13
1591744570,34,40
1591746488,16,16
1591748420,23,21
1591750329,23,29
1591752249,26,24
1591754180,15,19
1591756087,21,28
1591758021,22,0
1591760009,20,11
1591761847,24,15
1591763770,18,17
1591765704,21,14
1591767607,25,21
1591769528,7,19
1591771458,7,0
1591775285,3,44
1591777218,8,20
1591779129,21,10
1591781051,11,16
1591782975,11,20
1591784884,14,16
1591786809,18,24
1591788744,36,0
1591790652,25,19
1591792815,33,16
1591794746,17,17
1591796649,10,23
1591798582,17,20
1591800742,13,5
1591802650,8,22
1591804572,30,4
1591806499,3,19
1591808409,28,32
1591810332,35,37
1591812264,29,46
1591814168,26,27
1591816106,18,14
1591818005,26,25
1591819926,28,18
1591821859,23,29
1591823765,26,0
1591825685,12,26
1591827617,16,41
1591829526,25,25
1591831450,22,45
1591833376,38,27
1591835284,15,23
1591837219,23,44
1591839142,17,54
1591842967,16,66
1591844903,16,0
1591846811,13,35
1591848730,23,30
1591850660,26,15
1591852565,22,12
1591854490,21,26
1591856424,9,26
1591858342,24,21
1591860247,13,15
1591862178,11,25
1591864089,7,9
1591866013,18,30
1591868013,29,19
1591869853,21,22
1591871768,15,34
1591873704,7,0
1591875607,19,30
1591877547,14,53
1591879451,13,0
1591881367,12,7
1591883296,11,28
1591885207,13,0
1591887128,23,16
1591889059,14,40
1591890978,14,37
1591893252,24,19
1591895069,24,26
1591896967,16,27
1591898891,24,0
1591900818,27,62
1591902730,22,0
1591904647,23,40
1591906571,7,26
1591908490,14,0
1591910420,13,34
1591912326,21,23
1591914255,19,39
1591916166,14,37
1591918086,19,40
1591920023,16,42
1591921927,17,24
1591925779,17,45
1591927689,14,23
1591929609,15,17
1591931538,3,20
1591933446,13,22
1591935370,13,19
1591939205,16,40
1591941128,14,24
1591943061,8,25
1591944969,22,17
1591946885,18,17
1591948821,12,16
1591950727,9,7
1591952896,14,9
1591954806,12,18
1591956744,21,33
1591958648,18,0
1591960813,15,25
1591962727,14,21
1591964661,9,14
1591966567,17,21
1591968485,12,23
1591970424,22,24
1591972324,4,17
1591974499,21,10
1591976422,11,22
1591980262,25,42
1591982171,24,33
1591984091,10,17
1591986018,14,28
1591987927,12,17
1591989849,11,0
1591991778,20,37
1591995614,17,52
1591997537,17,20
1591999706,15,16
1592001605,23,23
1592003777,14,25
1592005689,10,21
1592007619,8,16
1592009523,17,10
1592011462,11,10
1592013366,13,16
1592015290,6,14
1592017219,19,16
1592019134,13,12
1592021060,11,19
1592024906,10,31
1592026808,19,13
1592028735,14,12
1592030662,9,11
1592032575,16,27
1592034493,19,21
1592036419,6,0
1592038332,5,5
1592040249,13,20
1592042184,10,19
1592044088,10,10
1592047939,13,37
1592049851,19,12
1592051767,9,7
1592053702,8,11
1592055612,9,0
1592057532,12,3
1592059462,12,4
1592061383,10,12
1592063305,3,15
1592065211,22,24
1592067131,15,21
