DateTime,AddedIPs,RemovedIPs
1591927689,15,0
1591928886,858,786
1591929609,23,17
1591930087,77,81
1591931538,249,18
1591933446,18,14
1591935370,20,30
1591937765,25,45
1591938901,256,0
1591939205,16,66
1591941128,14,21
1591943061,13,11
1591944969,32,25
1591946102,266,0
1591946885,24,12
1591948821,17,10
1591950727,12,8
1591952896,13,27
1591954806,137,34
1591956744,25,31
1591956902,239,0
1591958648,18,22
1591960813,16,9
1591962727,21,20
1591964661,146,21
1591966567,119,12
1591968485,17,22
1591969933,794,0
1591970424,28,12
1591972324,110,14
1591974499,21,22
1591975801,224,0
1591976422,17,13
1591979402,93,0
1591980262,28,48
1591982171,29,21
1591984091,9,19
1591986018,14,23
1591986601,180,0
1591987927,22,30
1591989849,13,25
1591991778,26,27
1591993802,183,0
1591995614,22,28
1591997537,19,9
1591999706,17,23
1592001605,230,15
1592003777,16,16
1592005204,33,70
1592005689,10,20
1592007619,8,13
1592008202,175,3032
1592009523,21,17
1592011462,11,0
1592013366,23,15
1592015290,86,57
1592015402,221,0
1592017219,21,19
1592019134,15,8
1592021060,15,22
1592022967,136,0
1592023502,122,0
1592024906,15,20
1592026808,18,18
1592028735,19,12
1592030662,13,14
1592032575,115,32
1592034493,18,25
1592036419,262,24
1592038332,7,11
1592040249,10,13
1592042184,147,18
1592042401,122,0
1592044088,12,22
1592046002,112,0
1592047939,21,30
1592049851,154,13
1592051767,10,12
1592053202,101,0
1592053702,15,16
1592055612,9,15
1592056802,97,0
1592057532,15,24
1592059462,11,2
1592060401,98,0
1592061387,942,1687
1592063305,4,15
1592064002,107,0
1592065211,22,0
1592067131,25,30
1592067603,93,0
1592069062,16,26
1592070971,18,12
1592071202,86,0
1592072887,17,16
1592074819,14,19
1592076734,88,13
1592078650,17,21
1592080579,11,0
1592082491,180,22
1592084410,4,20
1592086349,7,18
1592088251,13,24
1592089201,156,0
1592090172,42,0
1592092105,10,27
1592094011,10,0
1592095930,12,28
1592096402,131,2691
1592097862,19,0
1592099771,51,71
1592101687,24,0
1592103622,42,97
1592105533,245,0
1592107453,17,15
1592111303,95,41
1592113208,33,17
1592115144,21,36
1592115302,206,0
1592117052,17,0
1592118973,19,14
1592120903,11,40
1592122809,228,0
1592124728,31,11
1592126664,16,17
1592128569,36,0
1592129701,219,0
1592130489,18,29
1592132422,32,0
1592134334,14,0
1592136500,13,42
1592136901,205,0
1592138653,13,8
1592140596,26,7
1592142989,41,11
1592144891,182,13
1592146839,2,10
1592148732,1,19
1592150895,3,6
1592152338,972,932
1592154741,16,46
1592156648,121,14
1592158567,14,17
1592159402,185,0
1592160499,17,17
1592162404,13,13
1592164326,8,16
1592166262,20,11
1592166601,190,0
1592168165,10,8
1592170088,13,8
1592173932,26,15
1592176097,95,14
1592178015,26,7
1592178302,190,0
1592179213,38,60
1592179943,18,11
1592181850,17,11
1592181901,66,2478
1592183788,21,12
1592185689,117,21
1592187607,15,13
1592188567,80,66
1592189542,16,20
1592191450,34,19
1592192702,247,0
1592193370,16,20
1592195303,19,13
1592196246,12,0
1592197212,36,0
1592199902,248,0
1592201312,15,34
1592203207,15,18
1592205127,25,19
1592207064,26,14
1592208965,145,12
1592210887,34,25
1592212820,287,37
1592214730,16,11
1592216648,15,31
1592218581,101,17
1592220489,17,35
1592222413,22,13
1592224347,20,15
1592226512,326,16
1592228409,26,27
1592229601,166,0
1592230328,16,47
1592232563,12,20
1592233202,136,0
1592236565,24,3
1592236802,153,0
1592238484,24,4
1592240413,32,0
1592242347,131,11
1592244250,27,22
1592244511,861,852
1592246167,32,15
1592247602,193,0
1592250005,35,31
1592252171,38,9
1592254088,27,22
1592254802,212,0
1592256021,26,13
1592257931,21,14
1592259847,12,0
1592261782,16,24
1592263685,109,14
1592264645,34,0
1592265615,18,21
1592266501,140,2334
1592267549,21,21
1592269453,25,22
1592271367,20,20
1592273310,52,17
1592273702,198,0
1592275208,15,19
1592277129,52,94
1592279063,22,27
1592280969,46,24
1592282884,218,20
1592284825,15,30
1592286726,20,0
1592288668,208,15
1592290565,9,14
1592292490,19,20
1592294435,17,23
1592296332,134,7
1592298496,19,28
1592299801,268,0
1592300410,5,16
1592302344,12,17
1592303402,128,0
1592304248,11,14
1592306166,13,26
1592307001,121,0
1592308100,11,17
1592310007,9,20
1592311925,17,18
1592313864,13,14
1592314201,276,0
1592315766,42,19
1592317935,16,16
1592319856,14,10
1592321782,147,0
1592323696,130,21
1592325607,36,23
1592327545,13,33
1592329449,116,28
1592331367,22,25
1592332202,201,0
1592333285,22,26
1592335210,26,0
1592335450,807,864
1592337124,33,29
1592339048,20,41
1592340980,151,25
1592342886,14,24
1592343902,212,0
1592344817,15,16
1592346743,27,11
1592348649,23,16
1592349365,36,34
1592350568,16,11
1592351101,211,0
1592352761,13,13
1592354650,18,18
1592356565,25,19
1592358508,15,12
1592360406,159,2677
1592361611,80,79
1592362327,22,13
1592364272,16,19
1592366165,117,16
1592368084,18,13
1592369285,15,43
1592370041,215,15
1592371932,9,10
1592373927,9,20
1592376033,13,13
1592377201,267,0
1592377931,12,12
1592379848,19,12
1592380802,107,0
1592381791,4,6
1592383686,7,27
1592384402,146,0
1592385632,9,17
1592387529,17,8
1592389452,14,8
1592391391,16,9
1592391602,228,0
1592393289,11,11
1592395216,15,9
1592397136,11,11
1592399050,15,13
1592400992,245,13
1592402891,16,38
1592404806,14,12
1592406755,298,16
1592408646,23,23
1592410810,20,18
1592412728,17,33
1592413203,203,0
1592414673,18,12
1592416567,22,15
1592418486,18,20
1592420438,28,20
1592422334,167,26
1592424249,21,34
1592424902,245,0
1592426191,31,23
1592427131,787,794
1592428094,30,26
1592430277,18,18
1592432170,16,14
1592434087,205,26
1592436033,20,20
1592437930,49,81
1592439848,116,12
1592441781,17,20
1592443685,106,2526
1592443802,92,0
1592445615,27,20
1592446808,37,0
1592447544,26,12
1592449711,14,17
1592450648,41,72
1592451002,212,0
1592451607,16,15
1592454485,19,0
1592455466,16,29
1592457370,14,16
1592458202,203,0
1592459286,14,7
1592461209,24,8
1592463126,14,20
1592465062,23,14
1592466966,144,16
1592468885,12,4
