DateTime,AddedIPs,RemovedIPs
1592379182,0,1
1592379721,6,0
1592380321,10,22
1592380922,12,0
1592382121,3,1
1592383321,1,0
1592384162,27,21
1592384521,3,0
1592385122,1,0
1592385721,4,0
1592386321,1,0
1592386922,2,0
1592387521,2,0
1592388003,16,8
1592388121,0,1
1592388722,6,0
1592389321,2,0
1592389922,8,2342
1592390521,7,0
1592391121,4,0
1592391842,2344,0
1592392321,9,0
1592392921,3,0
1592393522,4,0
1592393762,13,13
1592394121,12,0
1592394721,5,0
1592395321,7,1
1592396521,1,0
1592397121,4,1
1592397842,13,49
1592398921,2,0
1592399522,8,0
1592400121,4,2
1592400782,1,1
1592401682,16,27
1592401921,5,0
1592402521,4,0
1592403721,1,0
1592404921,3,0
1592405521,28,17
1592406721,1,0
1592407322,5,1
1592408521,4,1
1592409122,1,0
1592409721,4,0
1592410321,2,0
1592410922,1,0
1592411282,26,29
1592411581,3,1
1592413321,2,0
1592414521,10,0
1592415122,11,1678
1592415721,4,0
1592417282,1670,0
1592418121,6,0
1592418781,1,0
1592419202,10,15
1592419321,1,0
1592420856,2,2
1592421121,1,0
1592422382,4,0
1592423042,28,20
1592423521,2,0
1592424121,7,0
1592425321,5,0
1592425921,1,1
1592426522,6,0
1592426882,13,18
1592427722,5,0
1592428321,4,0
1592428921,3,0
1592429521,3,1
1592430721,1,0
1592431321,1,0
1592431965,0,2
1592432642,17,24
1592433121,1,0
1592433721,0,1
1592434562,35,14
1592434922,5,0
1592435521,12,0
1592436121,11,2
1592437322,8,0
1592437921,2,0
1592438521,1,0
1592439721,3,3
1592440322,6,2167
1592440921,6,0
1592442242,2193,0
1592442722,4,0
1592443321,18,0
1592443922,2,0
1592444162,28,25
1592444521,1,0
1592445121,7,0
1592445721,2,0
1592446922,4,0
1592448002,38,39
1592448121,13,0
1592448721,5,0
1592449321,3,0
1592449922,48,56
1592450521,4,0
1592451121,5,0
1592451721,1,0
1592452922,4,0
1592453762,56,48
1592454121,6,0
1592455321,9,0
1592455922,50,56
1592456522,8,0
1592457122,2,0
1592457842,31,33
1592459761,34,27
1592460122,7,0
1592460722,5,0
1592461321,2,0
1592462522,1,0
1592463121,2,1
1592463930,3,0
1592464921,5,0
1592465594,33,26
1592466122,5,0
1592467921,3,0
1592468521,38,1
1592469121,5,0
1592469362,15,24
1592469722,1,0
1592470921,15,0
1592471521,4,0
