DateTime,AddedIPs,RemovedIPs
1592218580,119,111
1592220487,22249,0
1592220847,39,62
1592222411,27,8
1592222458,185,571
1592224346,154,21
1592224446,34,637
1592226511,397,651
1592227084,146,13
1592228045,80,93
1592228407,11,8
1592229612,1753,1099
1592230326,14,9
1592231104,143,8
1592232561,20,8
1592234557,784,433
1592235011,251,0
1592235248,109,93
1592236563,10,11
1592238482,204,46
1592238843,188,93
1592240411,14,3
1592242345,387,80
1592242443,43,51
1592244247,9,3
1592245489,350,49
1592246164,10,19
1592246854,243,328
1592248100,8,8
1592249104,453,37
1592250003,16,13
1592250232,189,73
1592251633,126,66
1592252168,13,18
1592253244,141,48
1592254086,8,11
1592254788,181,107
1592256019,12,26
1592256132,150,14
1592256843,42,94
1592257929,14,43
1592258454,0,22233
1592259844,71,64
1592259905,22298,0
1592260446,37,107
1592261782,8,51
1592261991,134,92
1592263685,307,0
1592264043,136,46
1592265616,13,10
1592267549,222,97
1592268607,139,117
1592269453,4,7
1592269853,66,49
1592271367,19,7
1592273310,274,137
1592274306,62,9
1592275208,29,4
1592275807,118,80
1592277129,12,7
1592279063,102,94
1592279403,166,52
1592280969,17,8
1592282043,138,102
1592282884,22,2
1592283419,60,40
1592284825,17,2
1592285106,80,153
1592285645,52,74
1592286726,13,2
1592287195,233,111
1592288350,72,2
1592288668,16,10
1592289244,147,57
1592290565,20,16
1592290795,164,117
1592292489,15,10
1592294435,164,141
1592294718,154,115
1592296331,12,6
1592296446,83,52
1592298496,198,161
1592299379,81,8
1592300409,51,76
1592301597,186,126
1592302343,15,743
1592303071,79,6
1592303642,41,75
1592304247,18,17
1592305197,0,24815
1592306165,1354,0
1592306705,23884,0
1592308099,16,4
1592310006,153,182
1592310611,2043,762
1592311924,593,88
1592313863,224,126
1592314445,522,97
1592315765,12,11
1592315996,336,140
1592317934,249,15
1592318044,66,59
1592319855,15,9
1592320590,523,142
1592321781,11,11
1592323695,468,660
1592324703,132,76
1592325606,17,6
1592326791,185,165
1592327544,11,10
1592328611,44,9
1592329447,32,120
1592330393,111,117
1592331365,14,13
1592331786,40,10
1592332444,45,57
1592333284,14,15
1592335208,130,110
1592335506,63,8
