DateTime,AddedIPs,RemovedIPs
1592314921,15,1
1592315521,2,0
1592316121,7,0
1592316722,2,0
1592317321,4,0
1592317921,1,1
1592318521,1,0
1592319722,22,1
1592320921,6,0
1592321521,2,0
1592322122,4,0
1592323321,7,0
1592324521,4,0
1592325121,7,0
1592326321,17,0
1592326921,2,0
1592327521,5,0
1592328122,3,0
1592328721,1,0
1592329921,5,0
1592330522,4,0
1592331721,2,0
1592332321,2,0
1592333522,1,0
1592334721,8,0
1592335322,12,0
1592336522,2,0
1592337121,0,1
1592337721,7,0
1592338921,3,0
1592340121,5,0
1592340721,2,0
1592341322,10,0
1592342522,5,0
1592343122,2,0
1592343721,2,0
1592344921,10,1
1592345522,3,0
1592346121,1,0
1592347322,1,0
1592347921,3,1
1592348521,4,0
1592349721,7,0
1592350922,5,0
1592352121,4,0
1592352721,10,0
1592353321,15,0
1592353921,2,0
1592354522,15,1
1592355722,6,0
1592356921,3,0
1592357521,1,0
1592358121,12,0
1592359321,1,0
1592361721,7,0
1592362921,4,1
1592364122,16,0
1592365321,3,0
1592365921,9,0
1592366521,7,0
1592368921,9,0
1592370121,10,0
1592372521,6,0
1592373122,1,0
1592374921,2,0
1592375521,6,0
1592376722,6,0
1592377322,1,0
1592378521,2,0
1592379182,0,1
1592379721,6,0
1592380321,2,0
1592380922,10,0
1592382121,3,1
1592383321,1,0
1592384521,3,0
1592385122,1,0
1592385721,4,0
1592386321,1,0
1592386922,2,0
1592387521,2,0
1592388121,0,1
1592388722,6,0
1592389321,2,0
1592389921,6,0
1592390521,7,0
1592391121,4,0
1592391721,2,0
1592392321,9,0
1592392921,3,0
1592393522,4,0
1592394121,12,0
1592394721,5,0
1592395321,7,1
1592396521,1,0
1592397121,4,1
1592397722,3,0
1592398921,2,0
1592399522,8,0
1592400121,4,2
1592400782,1,1
1592401921,5,0
1592402521,4,0
1592403721,1,0
1592404921,3,0
1592405521,3,0
1592406721,1,0
1592407322,5,1
1592408521,4,1
1592409122,1,0
1592409721,4,0
1592410321,2,0
1592410922,1,0
1592411581,3,1
1592413321,2,0
1592414521,10,0
1592415121,6,0
1592415721,4,0
1592416921,2,0
1592418121,6,0
1592418781,1,0
1592419321,1,0
1592420521,2,2
1592421121,1,0
1592422382,4,0
1592422921,2,0
1592423521,2,0
1592424121,7,0
1592425321,5,0
1592425921,1,1
1592426522,6,0
1592427722,5,0
1592428321,4,0
1592428921,3,0
1592429521,3,1
1592430721,1,0
1592431321,1,0
1592431922,0,2
1592432522,5,0
1592433121,1,0
1592433721,0,1
1592434922,6,0
1592435521,12,0
1592436121,11,2
1592437322,8,0
1592437921,2,0
1592438521,1,0
1592439721,3,3
1592440321,2,0
1592440921,6,0
1592442122,6,0
1592442722,4,0
1592443321,18,0
1592443922,2,0
1592444521,1,0
1592445121,7,0
1592445721,2,0
1592446922,4,0
1592448121,13,0
1592448721,5,0
1592449321,3,0
1592450521,4,0
1592451121,5,0
1592451721,1,0
1592452922,4,0
1592453521,1,0
1592454121,5,0
1592455321,9,0
1592455921,2,0
1592456522,8,0
1592457122,2,0
1592457721,1,0
1592460122,7,0
1592460722,5,0
1592461321,2,0
1592462522,1,0
1592463121,2,1
1592463721,3,0
1592464921,5,0
1592466122,5,0
1592467921,3,0
1592468521,38,1
1592469121,5,0
1592469722,1,0
1592470921,15,0
1592471521,4,0
1592472121,4,0
1592473321,7,1
1592474522,9,0
1592475121,5,0
1592475722,6,0
1592476321,4,0
1592476922,4,0
1592477521,0,1
1592478121,4,0
1592478721,9,0
1592479321,15,0
1592479922,7,0
1592480521,1,0
1592481122,4,0
1592481721,12,0
1592482922,8,0
1592483521,1,0
1592484121,7,0
1592484721,10,0
1592485322,6,0
1592485921,1,0
1592486521,10,1
1592487721,1,0
1592488321,16,0
1592488921,2,0
1592489522,11,0
1592490121,19,0
1592490721,2,0
1592491321,17,0
1592492521,9,0
1592493121,6,0
1592493722,7,0
1592494922,24,0
1592496121,2,0
1592497321,15,0
1592497921,2,0
1592498521,12,0
1592499121,6,0
1592499722,15,0
1592500921,29,0
1592501521,4,0
1592502122,27,0
1592503322,9,0
1592504521,15,0
1592505121,2,0
1592505721,8,0
1592506921,20,0
1592507521,1,0
1592508121,5,0
1592509321,6,0
1592509921,2,0
1592510522,2,0
1592511121,5,1
1592511721,3,0
1592512382,5,0
1592512921,7,0
1592513521,1,0
1592514121,4,0
1592514721,7,0
1592515321,6,0
1592515921,6,0
1592516521,1,0
1592517121,2,0
1592517721,3,1
1592518322,1,0
1592518921,2,0
1592519521,2,0
1592519582,3,0
1592520121,1,0
1592520721,7,0
1592521321,3,0
1592521921,5,0
1592523182,3,1
1592523722,6,0
1592524922,13,0
1592525521,2,0
1592526121,8,0
1592526782,1,0
1592527321,6,1
1592529721,11,0
1592530381,6,0
1592530921,17,0
1592531521,7,0
1592533321,3,0
1592534521,5,0
1592535721,4,0
1592536921,1,0
1592538122,6,0
1592539321,3,0
1592540521,10,1
1592541121,4,0
1592541721,5,0
1592544121,11,0
1592545321,2,0
1592545922,1,1
1592546522,5,0
1592547121,1,0
1592547722,5,0
1592550121,3,1
1592550721,6,0
1592552521,7,0
1592553721,1,0
1592554322,1,0
1592554921,4,0
1592555581,1,0
1592556122,4,0
1592556721,3,0
1592557321,14,0
1592557921,6,0
1592558521,9,0
1592559181,1,0
1592559722,3,0
1592560321,0,1
1592560922,1,2
1592561521,2,0
1592562122,1,0
1592563321,11,0
1592563921,4,0
1592564521,5,0
1592565121,7,0
1592566321,13,0
1592566921,1,0
1592568121,1,0
1592568721,1,0
1592569321,3,0
1592569982,2,0
1592570521,2,0
1592571122,3,0
1592571722,5,0
1592572322,5,0
1592572921,4,0
1592574121,12,0
1592574721,3,0
1592575321,1,0
1592575922,6,0
1592577721,8,0
1592578321,5,0
1592578922,4,0
1592580782,2,0
1592581321,5,0
1592583122,1,0
1592583721,7,0
1592584321,6,2
1592584921,4,1
1592586121,1,0
1592587322,1,0
1592587921,3,0
1592588521,4,0
1592589121,6,0
1592589722,5,0
1592590321,9,0
1592590921,2,0
1592591581,1,0
1592592122,5,0
1592593322,3,0
1592594521,4,0
1592596321,5,0
1592597521,5,0
1592598122,3,0
1592598721,8,0
1592598782,1,0
1592599322,9,0
1592600521,3,1
1592601721,4,0
1592602922,12,0
1592603521,6,0
1592604121,3,0
1592604722,3,0
1592605321,3,0
1592605981,1,0
1592606521,2,0
1592607722,4,0
