DateTime,AddedIPs,RemovedIPs
1591767607,30,40
1591769528,40,81
1591771457,54,88
1591773364,33,68
1591775284,71,45
1591777217,63,50
1591779128,52,33
1591781049,46,80
1591782974,65,66
1591784883,35,3327
1591786807,1499,0
1591788743,74,63
1591790651,58,60
1591792814,84,119
1591794744,63,56
1591796648,66,59
1591798580,73,66
1591800740,65,54
1591802648,42,72
1591804570,59,70
1591806497,52,42
1591808407,65,46
1591810330,54,60
1591812262,66,65
1591814166,55,69
1591816104,64,64
1591818003,49,33
1591819923,87,70
1591821857,49,65
1591823763,73,68
1591825682,63,64
1591827615,60,76
1591829526,62,73
1591831450,1289,0
1591833376,55,55
1591835284,45,73
1591837219,77,72
1591839142,46,56
1591841047,44,42
1591842967,73,49
1591844902,46,54
1591846811,64,80
1591848729,60,43
1591850660,35,31
1591852564,50,46
1591854489,48,42
1591856424,41,83
1591858341,65,46
1591860246,60,54
1591862177,67,51
1591864088,37,57
1591866012,78,67
1591868012,49,57
1591869852,52,3197
1591871767,77,71
1591873703,1373,0
1591875606,68,60
1591877546,96,53
1591879450,68,64
1591881365,97,44
1591883295,65,86
1591885205,80,55
1591887127,60,64
1591889058,41,57
1591890976,69,92
1591893251,72,74
1591895067,57,76
1591896965,63,45
1591898889,47,39
1591900816,64,54
1591902729,58,34
1591904646,69,56
1591906569,65,67
1591908488,82,57
1591910418,85,59
1591912324,64,60
1591914253,57,36
1591916166,79,101
1591918086,1200,0
1591920023,53,36
1591921926,44,47
1591923847,49,43
1591925778,51,57
1591927689,41,72
1591929608,72,45
1591931537,45,51
1591933446,41,61
1591935369,72,64
1591937301,38,77
1591939204,43,59
1591941127,40,32
1591943061,39,26
1591944969,53,56
1591946884,49,30
1591948820,54,71
1591950726,55,49
1591952894,60,67
1591954805,68,52
1591956742,47,2778
1591958647,54,60
1591960812,1314,0
1591962726,66,51
1591964659,57,47
1591966566,66,75
1591968484,55,50
1591970423,68,47
1591972323,37,56
1591974498,50,58
1591976421,60,67
1591978326,49,60
1591980260,77,46
1591982169,67,51
1591984089,63,50
1591986016,56,38
1591987925,49,62
1591989847,66,60
1591991776,97,69
1591993685,56,40
1591995612,83,76
1591997535,43,54
1591999704,60,60
1592001605,103,56
1592003778,1202,0
1592005690,38,48
1592007619,51,41
1592009523,66,55
1592011462,34,44
1592013366,76,38
1592015290,50,53
1592017219,54,46
1592019134,47,42
1592021060,45,53
1592022969,64,49
1592024906,62,39
1592026808,52,43
1592028735,26,32
1592030662,54,53
1592032574,36,63
1592034492,63,51
1592036418,58,46
1592038331,38,65
1592040249,36,55
1592042183,52,66
1592044087,37,2769
1592046008,1186,0
1592047939,56,34
1592049851,57,50
1592051767,86,57
1592053701,76,44
1592055611,86,48
1592057531,63,45
1592059461,69,59
1592061382,49,47
1592063304,71,49
1592065210,72,68
1592067129,63,38
1592069061,46,40
1592070969,55,40
1592072885,30,39
1592074818,59,63
1592076732,53,47
1592078649,61,45
1592080578,96,67
1592082489,49,58
1592084408,51,73
1592086348,75,44
1592088252,72,50
1592090172,1071,0
1592092105,51,45
1592094012,75,38
1592095930,58,40
1592097862,137,49
1592099771,43,35
1592101687,30,46
1592103622,48,50
1592105533,33,29
1592107453,59,53
1592109380,56,44
1592111303,47,45
1592113207,40,30
1592115144,38,44
1592117052,63,30
1592118972,76,57
1592120903,41,36
1592122808,36,66
1592124728,48,51
1592126663,60,71
1592128568,108,49
1592130489,77,2736
1592132421,1236,0
1592134333,92,60
1592136499,128,51
1592138652,106,57
1592140595,85,50
1592142988,82,94
1592144890,43,49
1592146837,52,57
1592148731,36,47
1592150893,139,43
1592152804,157,71
1592154739,69,70
1592156646,39,48
1592158565,49,38
1592160497,33,46
1592162403,106,35
1592164324,146,91
1592166261,68,38
1592168164,44,42
1592170086,54,33
1592172026,127,59
1592173931,112,47
1592176097,1086,0
1592178014,41,48
1592179943,38,38
1592181849,32,42
1592183787,90,41
1592185689,67,60
1592187606,53,47
1592189541,37,53
1592191449,43,34
1592193369,54,50
1592195302,64,46
1592197211,68,61
1592199133,35,47
1592201312,38,33
1592203207,42,40
1592205126,64,37
1592207063,94,59
1592208964,69,59
1592210886,53,31
1592212819,102,39
1592214728,59,51
1592216646,64,2825
1592218580,120,113
1592220487,1349,0
1592222411,113,62
1592224346,65,67
1592226511,99,81
1592228407,89,33
1592230326,67,34
1592232561,79,44
1592234557,99,38
1592236563,75,65
1592238482,74,51
1592240411,82,44
1592242345,44,45
1592244247,46,37
1592246164,65,65
1592248100,68,76
1592250003,114,35
1592252168,95,50
1592254086,53,49
1592256019,64,62
1592257929,72,99
1592259844,71,64
1592261782,108,112
1592263685,1153,0
1592265616,55,47
1592267549,88,56
1592269453,46,61
1592271367,93,33
1592273310,71,24
1592275208,78,27
1592277129,37,34
1592279063,62,39
1592280969,64,52
1592282884,86,39
1592284825,74,41
1592286726,46,28
1592288668,51,37
1592290565,74,90
1592292489,66,41
1592294435,76,46
1592296331,49,24
1592298496,47,54
1592300409,63,79
1592302343,52,3301
1592304247,79,89
1592306165,1364,0
1592308099,72,31
1592310006,57,35
1592311924,86,43
1592313863,66,96
1592315765,72,70
1592317934,82,49
1592319855,54,33
1592321781,66,48
1592323695,69,60
1592325606,71,60
1592327544,111,58
1592329447,73,32
1592331365,71,37
1592333284,48,46
1592335208,61,86
1592337123,60,76
1592339046,47,47
1592340978,55,81
1592342884,51,75
1592344816,68,68
1592346744,64,86
1592348649,1230,0
1592350568,45,49
1592352762,51,31
1592354650,44,28
1592356565,54,82
1592358509,58,53
1592360406,44,49
1592362327,48,26
1592364272,61,40
1592366164,58,53
1592368084,59,57
1592370041,61,58
1592371932,58,29
1592373927,58,34
1592376034,75,40
1592377930,72,59
1592379848,57,73
1592381790,62,65
1592383685,53,52
1592385631,59,94
1592387528,51,62
1592389451,63,3359
1592391390,96,77
1592393288,1497,0
1592395215,72,59
1592397136,82,84
1592399049,78,49
1592400991,97,92
1592402890,84,69
1592404805,67,67
1592406754,74,54
1592408645,68,56
1592410809,86,74
1592412727,62,89
1592414672,77,66
1592416566,81,49
1592418485,62,50
1592420437,60,82
1592422332,77,69
1592424247,93,67
1592426189,75,56
1592428092,91,40
1592430276,113,67
1592432168,122,72
1592434087,89,68
1592436033,1352,0
1592437930,68,40
1592439849,61,38
1592441781,81,76
1592443685,48,52
1592445615,72,78
1592447544,68,49
1592449711,97,61
1592451607,77,40
1592453529,77,57
1592455466,54,76
1592457370,76,71
1592459285,61,38
1592461210,64,57
1592463127,63,58
1592465062,64,61
1592466966,54,73
1592468885,68,51
1592470838,74,42
1592472729,62,49
1592474893,52,2931
1592476811,83,88
1592478741,1356,0
1592480648,75,42
1592482568,70,57
1592484500,69,44
1592486405,72,49
1592488324,72,61
1592490264,67,45
1592492195,56,52
1592494087,51,51
1592496024,64,64
1592497931,57,52
1592500093,105,66
1592502007,67,61
1592503940,49,61
1592505846,58,62
1592507767,71,83
1592509701,107,69
1592511604,91,48
1592513625,69,60
1592515470,61,51
1592517365,69,60
1592519583,67,82
1592521754,1213,0
1592523608,53,31
1592525791,57,51
1592527699,65,36
1592529609,56,52
1592531545,53,39
1592533449,54,66
1592535370,43,46
1592537303,54,44
1592539254,63,56
1592541153,38,45
1592543057,57,49
1592545033,56,66
1592546990,50,46
1592548811,70,69
1592550731,67,69
1592552671,73,54
1592554571,62,63
1592556543,31,50
1592558430,36,55
1592560332,53,50
1592562257,50,3446
1592564185,80,76
1592566090,1550,0
1592568093,88,74
1592569950,60,54
1592571850,82,59
1592573771,96,71
1592575712,62,62
1592577616,54,81
1592579535,49,81
1592581471,49,75
1592583369,83,77
1592585288,54,56
1592587225,85,72
1592589133,59,62
1592591048,39,58
1592592987,75,77
1592594887,42,50
1592596813,77,59
1592598752,54,66
1592600651,75,70
1592602570,78,74
1592604515,66,41
1592606410,69,75
1592608334,1385,0
1592610278,43,71
1592612174,45,58
1592614091,43,55
1592616031,55,52
1592617931,53,60
1592620099,47,66
1592622035,50,86
1592623932,49,61
1592626096,59,81
1592628012,55,55
1592629948,38,58
1592631849,58,52
1592633796,57,68
1592635691,43,65
1592637609,67,64
1592639552,51,37
1592641449,55,63
1592643368,45,77
1592645305,59,57
1592647210,50,2961
1592649148,66,55
