DateTime,AddedIPs,RemovedIPs
1592315521,80,80
1592316121,80,80
1592316722,79,79
1592317321,80,80
1592317921,80,80
1592318521,79,79
1592319722,80,80
1592320321,80,80
1592320921,80,80
1592321521,80,80
1592322122,80,80
1592322721,80,80
1592323321,80,80
1592324521,80,80
1592325121,80,80
1592326321,80,80
1592326921,80,80
1592327521,80,80
1592328122,80,80
1592328721,80,80
1592329322,80,80
1592329921,80,80
1592330522,80,80
1592331721,77,77
1592332321,79,79
1592332921,6,6
1592334122,80,80
1592334721,80,80
1592335322,80,80
1592336522,80,80
1592337721,80,80
1592338921,80,80
1592340121,80,80
1592340721,80,80
1592341322,80,80
1592342522,80,80
1592343122,80,80
1592343721,80,80
1592344921,80,80
1592345522,12,12
1592346721,21,21
1592347322,12,12
1592347921,8,8
1592348521,9,9
1592349121,66,66
1592350321,80,80
1592350922,80,80
1592352121,77,77
1592352721,80,80
1592353321,80,80
1592354522,80,80
1592355722,79,79
1592356921,80,80
1592357521,80,80
1592358121,80,80
1592359321,78,78
1592360521,80,80
1592361721,80,80
1592362921,80,80
1592364122,79,79
1592364721,80,80
1592365921,80,80
1592366521,41,41
1592367121,8,8
1592368322,49,49
1592368921,52,52
1592370121,80,80
1592371321,80,80
1592372521,80,80
1592373122,6,6
1592373721,12,12
1592374921,80,80
1592375521,80,80
1592376722,78,78
1592377322,80,80
1592378521,79,79
1592379721,80,80
1592380922,80,80
1592382121,80,80
1592383321,80,80
1592384521,71,71
1592385122,80,80
1592385721,80,80
1592386922,80,80
1592387521,79,79
1592388121,79,79
1592388722,80,80
1592389321,80,80
1592389921,52,52
1592390521,79,79
1592391121,80,80
1592391721,80,80
1592392321,80,80
1592392921,80,80
1592393522,80,80
1592394121,80,80
1592394721,80,80
1592395321,79,79
1592395921,80,80
1592396521,80,80
1592397121,80,80
1592397722,79,79
1592398921,80,80
1592399522,80,80
1592400121,30,30
1592401322,80,80
1592401921,80,80
1592402521,79,79
1592403721,79,79
1592404921,76,76
1592405521,79,79
1592406121,80,80
1592406721,80,80
1592407322,80,80
1592408521,80,80
1592409721,80,80
1592410321,80,80
1592410922,76,76
1592412122,50,50
1592413321,34,34
1592414521,63,63
1592415121,69,69
1592415721,76,76
1592416921,78,78
1592418121,64,64
1592419321,31,31
1592419921,25,25
1592421121,80,80
1592421721,80,80
1592422921,80,80
1592423521,80,80
1592424121,80,80
1592425321,80,80
1592426522,80,80
1592427722,77,77
1592428321,58,58
1592428921,63,63
1592429521,78,78
1592430121,80,80
1592430721,80,80
1592431321,80,80
1592432522,80,80
1592433121,80,80
1592433721,80,80
1592434922,80,80
1592435521,80,80
1592436121,80,80
1592437322,70,70
1592437921,79,79
1592438521,80,80
1592439721,80,80
1592440921,80,80
1592442122,73,73
1592443321,72,72
1592443922,79,79
1592445121,77,77
1592445721,80,80
1592446922,79,79
1592448121,80,80
1592448721,39,39
1592449321,80,80
1592450521,80,80
1592451121,79,79
1592451721,76,76
1592452922,78,78
1592454121,80,80
1592455321,80,80
1592455921,80,80
1592456522,80,80
1592457721,77,77
1592458921,78,78
1592460122,66,66
1592460722,39,39
1592461321,33,33
1592461922,79,79
1592463121,80,80
1592463721,80,80
1592464921,79,79
1592466122,79,79
1592467321,80,80
1592467921,80,80
1592468521,80,80
1592469121,80,80
1592469722,80,80
1592470921,80,80
1592472121,77,77
1592473321,80,80
1592474522,80,80
1592475121,34,34
1592476321,80,80
1592476922,77,77
1592478121,80,80
1592479321,80,80
1592479922,80,80
1592480521,80,80
1592481721,80,80
1592482922,80,80
1592483521,80,80
1592484121,80,80
1592484721,80,80
1592485322,80,80
1592486521,80,80
1592487721,80,80
1592488921,79,79
1592490121,79,79
1592490721,79,79
1592491321,80,80
1592492521,80,80
1592493121,80,80
1592493722,80,80
1592494922,80,80
1592496121,80,80
1592497321,64,64
1592497921,78,78
1592498521,80,80
1592499121,80,80
1592499722,80,80
1592500921,80,80
1592502122,80,80
1592502721,16,16
1592504521,80,80
1592505121,80,80
1592505721,80,80
1592506921,80,80
1592507521,79,79
1592508121,79,79
1592509321,80,80
1592510522,80,80
1592511721,79,79
1592512921,80,80
1592513521,80,80
1592514121,80,80
1592514721,79,79
1592515321,59,59
1592515921,40,40
1592517121,80,80
1592517721,80,80
1592518322,80,80
1592518921,80,80
1592520121,80,80
1592520721,80,80
1592521921,29,29
1592522521,79,79
1592523722,77,77
1592524922,79,79
1592525521,77,77
1592526121,80,80
1592526721,47,47
1592527921,8,8
1592528521,78,78
1592529721,80,80
1592530321,80,80
1592530921,71,71
1592531521,62,62
1592533321,34,34
1592534521,80,80
1592535721,62,62
1592536921,79,79
1592538122,78,78
1592539321,75,75
1592540521,80,80
1592541121,80,80
1592541721,80,80
1592542921,80,80
1592544121,80,80
1592545321,79,79
1592545922,80,80
1592546522,80,80
1592547121,80,80
1592547722,80,80
1592548921,80,80
1592550121,80,80
1592550721,80,80
1592551922,80,80
1592552521,77,77
1592553721,80,80
1592554921,80,80
1592556122,79,79
1592556721,80,80
1592557321,80,80
1592557921,80,80
1592558521,80,80
1592559121,80,80
1592559722,52,52
1592560321,19,19
1592560922,24,24
1592561521,14,14
1592562122,80,80
1592563321,77,77
1592563921,80,80
1592564521,80,80
1592565121,80,80
1592565721,80,80
1592566321,79,79
1592566921,80,80
1592568121,78,78
1592568721,64,64
1592569321,28,28
1592570521,22,22
1592571122,79,79
1592571722,80,80
1592572322,80,80
1592572921,80,80
1592573521,80,80
1592574121,79,79
1592574721,75,75
1592575321,80,80
1592575922,80,80
1592577121,80,80
1592577721,80,80
1592578321,79,79
1592578922,79,79
1592579521,80,80
1592580721,80,80
1592581321,80,80
1592581922,80,80
