DateTime,AddedIPs,RemovedIPs
1592313721,1,0
1592314321,1,11
1592315521,6,13
1592316121,2,0
1592317321,5,11
1592317921,2,0
1592318521,0,6
1592319722,4,14
1592320321,1,0
1592320921,11,8
1592321521,2,5
1592322122,7,0
1592322721,7,3
1592323321,5,0
1592324521,13,24
1592325121,5,0
1592326321,25,19
1592326921,11,0
1592327521,8,19
1592328122,14,8
1592328721,3,0
1592329322,2,9
1592329921,1,0
1592330522,1,9
1592331721,8,25
1592332321,14,14
1592333522,11,16
1592334122,4,0
1592334721,0,10
1592335322,1,13
1592335921,11,0
1592337121,14,6
1592337721,1,0
1592338921,5,18
1592340121,18,33
1592340721,10,0
1592341322,13,0
1592342521,11,33
1592343721,22,22
1592344321,12,39
1592345522,13,0
1592346121,6,0
1592347322,19,25
1592348521,38,15
1592349721,17,20
1592350922,26,39
1592352121,13,25
1592352721,29,0
1592353321,2,11
1592353921,17,7
1592354522,25,14
1592355722,30,0
1592356321,4,13
1592357521,5,10
1592358121,2,0
1592359321,5,21
1592360521,4,12
1592361721,29,5
1592362921,17,18
1592363521,8,2
1592364721,24,3
1592365321,0,4
1592366521,18,21
1592367121,15,0
1592368322,7,7
1592368921,19,0
1592370121,5,9
1592370721,1,0
1592371921,14,8
1592373122,14,7
1592373721,2,0
1592374921,14,16
1592376121,0,8
1592377322,4,9
1592378521,7,8
1592379122,17,0
1592380321,7,12
1592380922,10,0
1592382121,3,13
1592383321,10,0
1592383921,8,3
1592385122,14,2
1592385721,14,2
1592386321,2,1
1592386922,9,13
1592387521,1,0
1592388121,0,7
1592388722,6,0
1592389321,1,8
1592390521,10,1
1592391121,9,7
1592392321,11,7
1592392921,4,0
1592393522,2,2
1592394121,1,16
1592394721,1,0
1592396521,2,4
1592397121,3,2
1592397722,1,0
1592398321,3,9
1592398921,0,30
1592400121,10,0
1592400721,3,11
1592401322,0,26
1592402521,11,5
1592403121,2,0
1592403721,1,0
1592404321,4,6
1592405521,3,4
1592406121,2,0
1592407322,7,9
1592407921,5,0
1592408521,0,5
1592409122,8,6
1592410321,7,11
1592411521,12,18
1592412122,1,0
1592413321,34,6
1592413922,37,18
1592415121,11,11
1592416321,6,7
1592416921,4,4
1592418121,3,7
1592419321,11,13
1592419921,16,0
1592420521,4,7
1592421121,1,0
1592421721,14,3
1592422322,6,19
1592422921,24,0
1592424121,21,9
1592425321,8,3
1592425921,28,5
1592426522,19,5
1592427121,6,0
1592427722,14,26
1592428321,5,0
1592428921,9,0
1592429521,17,12
1592430121,7,8
1592431321,4,7
1592431922,7,0
1592432522,19,14
1592433721,22,15
1592434322,7,26
1592434922,4,0
1592436121,17,0
1592437322,17,26
1592438521,20,0
1592439721,16,17
1592440321,14,12
1592440921,7,11
1592441521,2,22
1592442722,16,5
1592443321,9,13
1592443922,7,0
1592444521,4,5
1592445121,2,4
1592445721,1,3
1592446922,3,0
1592447521,0,2
1592448121,2,19
1592449321,2,5
1592450521,10,0
1592451721,9,30
1592452322,6,10
1592453521,6,10
1592454121,4,12
1592455921,17,22
1592457122,15,3
1592457721,0,5
1592458921,2,10
1592460122,5,14
1592460722,5,0
1592461321,2,0
1592462522,2,6
1592463121,6,12
1592464921,1,3
1592466122,3,4
1592466721,0,24
1592467921,39,0
1592468521,6,0
1592469121,2,11
1592469722,11,7
1592471521,8,13
1592472121,6,4
1592473321,11,13
1592474522,4,21
1592475121,9,0
1592475722,5,5
1592476321,5,13
1592477521,13,20
1592478721,32,5
1592479321,16,11
1592479922,13,10
1592481122,23,2
1592481721,14,1
1592482321,4,0
1592482921,11,0
1592483521,2,0
1592484121,8,1
1592484721,18,7
1592485322,1,1
1592485921,1,0
1592486521,20,10
1592487121,5,1
1592488321,24,9
1592489522,23,6
1592490121,21,4
1592491321,14,1
1592492521,14,13
1592493121,2,0
1592493722,3,3
1592494922,9,8
1592496121,2,6
1592497321,11,8
1592497921,2,0
1592498521,25,14
1592499121,6,0
1592499722,18,25
1592500921,34,0
1592501521,6,43
1592502121,20,6
1592503322,15,5
1592504521,20,5
1592505721,11,3
1592506921,25,13
1592507521,0,8
1592508121,7,6
1592509321,16,12
