DateTime,AddedIPs,RemovedIPs
1590892381,2,7
1590895982,6,5
1590899581,4,11
1590903182,5,0
1590906782,8,2
1590910381,0,12
1590913982,4,0
1590917581,0,10
1590921182,9,0
1590924781,5,14
1590928382,3,0
1590931981,2,15
1590935582,3,6
1590939182,5,0
1590942782,6,12
1590946381,7,5
1590949982,6,4
1590953582,8,7
1590957182,5,0
1590960781,6,3
1590964382,4,2
1590967981,3,6
1590971582,5,2
1590975182,2,3
1590978781,3,6
1590982381,3,0
1590985981,3,6
1590989582,3,6
1590993181,8,7
1590996782,4,0
1591000382,3,6
1591003981,4,0
1591007581,0,13
1591011182,7,0
1591014782,3,6
1591021981,8,8
1591025582,5,0
1591029181,8,13
1591032781,6,0
1591036381,6,13
1591039981,5,0
1591043582,5,2
1591047181,5,2
1591050781,5,7
1591054381,3,0
1591057982,4,4
1591061581,4,3
1591065181,5,0
1591068781,2,7
1591072381,5,4
1591075981,3,7
1591079581,2,0
1591083182,6,0
1591086782,0,10
1591090382,6,0
1591093982,2,2
1591097582,0,6
1591108381,7,5
1591111981,7,8
1591115581,5,6
1591119181,4,7
1591122781,4,2
1591126382,6,8
1591129982,5,9
1591133581,5,3
1591137181,4,0
1591140781,6,1
1591144382,5,7
1591147981,3,4
1591151582,0,6
1591155182,4,5
1591158781,0,4
1591162381,7,0
1591165981,4,2
1591169581,8,4
1591176782,3,5
1591180381,6,0
1591183982,5,0
1591191182,2,7
1591194781,4,0
1591198382,1,6
1591201981,6,3
1591205581,3,6
1591209182,4,0
1591212781,7,11
1591216382,2,0
1591219982,4,5
1591223582,2,6
1591227182,1,2
1591230782,4,5
1591234382,2,0
1591237981,2,0
1591241582,2,4
1591245181,3,0
1591248781,5,6
1591252381,3,6
1591255982,0,4
1591259581,8,0
1591263182,3,9
1591266782,3,2
1591270381,9,5
1591273982,7,10
1591277581,5,2
1591281182,2,3
1591284782,4,5
1591288381,5,0
1591291981,1,7
1591295582,2,3
1591299181,7,3
1591302782,8,8
1591306381,1,2
1591309982,1,3
1591313581,6,2
1591317181,2,5
1591324382,5,1
1591327982,4,3
1591331582,3,6
1591335181,7,0
1591338781,3,7
1591342382,6,0
1591345981,4,7
1591349581,3,0
1591353181,6,6
1591356782,1,0
1591360382,3,11
1591363981,5,4
1591367581,2,7
1591371181,8,0
1591374781,5,12
1591378382,5,0
1591381982,4,7
1591385581,4,0
1591389181,7,9
1591392781,3,1
1591396382,8,0
1591399982,1,1
1591403581,3,9
1591407182,5,0
1591410782,4,3
1591417981,6,6
1591421581,7,9
1591425182,4,0
1591428782,2,10
1591432381,3,3
1591435981,2,0
1591439581,3,9
1591443181,2,3
1591446781,5,4
1591450381,3,3
1591453982,2,9
1591457581,4,0
1591461182,5,4
1591464781,0,11
1591468381,5,0
1591471982,4,11
1591475581,5,5
1591482781,2,14
1591486381,7,3
1591489981,3,0
1591493582,3,5
1591497181,5,0
1591500781,2,0
1591504381,2,1
1591507982,3,8
1591511581,2,2
1591515182,5,3
1591518781,5,0
1591522381,3,9
1591525984,4,0
1591529581,3,5
1591533181,4,0
1591536781,7,6
1591540381,10,3
1591543981,4,3
1591547581,3,0
1591551182,8,3
1591554781,1,4
1591558382,2,0
1591561981,5,3
1591565581,5,9
1591569182,3,0
1591572782,3,5
1591576381,5,3
1591579981,5,0
1591583581,3,2
1591587181,2,9
1591590781,3,5
1591594381,4,0
1591597981,3,11
1591601581,5,0
1591605181,5,8
1591608781,6,4
1591615982,7,6
1591619581,4,6
1591623182,1,5
1591626781,2,4
1591630382,7,9
1591633982,5,10
1591637581,3,1
1591641182,4,0
1591644783,3,3
1591648382,3,7
1591651981,1,0
1591655581,4,5
1591659182,7,2
1591662781,6,0
1591666381,5,7
1591669981,2,3
1591673581,7,0
1591677181,3,4
1591680782,2,4
1591684381,6,3
1591687981,2,6
1591691581,3,7
1591695182,5,5
1591698781,2,3
1591702382,7,0
1591705981,4,8
1591709581,4,3
1591713181,3,0
1591716781,6,6
1591720381,5,0
1591723982,3,4
1591727581,3,11
1591731181,3,7
1591734781,3,0
1591738382,3,3
1591741981,5,0
1591745581,6,5
1591749181,7,7
1591752782,1,0
1591756381,3,4
1591759982,4,9
1591763581,2,0
1591767182,2,4
1591770782,3,4
1591774382,3,8
1591777982,3,0
1591781581,0,4
1591785181,2,9
1591788782,4,2
1591792381,3,7
1591795982,6,0
1591799582,0,2
1591803182,7,5
1591806781,3,10
1591810381,6,0
1591813982,5,3
1591817581,3,4
1591821182,6,13
1591824781,3,0
1591828382,3,7
1591831981,1,4
1591835582,2,0
1591839182,5,8
1591842781,5,0
1591846381,0,1
1591849981,3,0
1591853582,3,6
1591857182,4,8
1591860781,4,4
1591864381,9,0
1591867981,7,6
1591871582,4,4
1591875181,3,4
1591878782,1,0
1591882382,3,3
1591885981,4,0
1591889581,2,6
1591893182,0,6
1591896781,2,5
1591900382,4,4
1591903981,5,7
1591907581,4,0
1591911181,2,2
1591914782,1,4
1591918381,2,0
1591921981,3,3
1591925581,4,8
1591929182,3,0
1591932781,1,2
1591936381,5,4
1591939981,3,3
1591943581,3,3
1591947182,4,4
1591950782,1,4
1591954382,2,1
1591957981,4,7
1591961581,5,0
1591965182,6,2
1591968782,7,4
1591972381,5,3
1591975982,5,0
1591979581,5,1
1591983182,5,4
1591986781,5,4
1591990381,7,6
1591993981,7,4
1591997582,2,0
1592001181,0,4
1592004781,2,4
1592008381,5,1
1592011982,2,6
1592019181,3,7
1592022782,0,2
1592026381,3,2
1592029981,4,3
1592033581,3,0
1592037182,2,6
1592044381,3,1
1592047981,5,6
1592051583,0,9
1592055181,7,4
1592058781,1,2
1592062381,1,9
1592065982,1,11
1592069581,6,0
1592073181,3,4
1592076781,4,4
1592080382,3,2
1592083981,2,5
1592087582,2,3
1592091181,5,4
1592094782,1,7
1592098381,2,0
1592101981,2,4
1592105581,2,0
1592109182,4,3
1592112782,6,3
1592116382,5,0
1592119981,2,10
1592123582,3,0
1592127182,2,0
1592130782,5,7
1592134382,3,2
1592137981,1,4
1592141582,1,0
1592145181,2,5
1592148782,2,6
1592152381,4,0
1592155981,5,2
1592159582,3,5
1592163181,3,0
1592166781,5,2
1592170381,4,2
1592173981,6,2
1592177581,3,0
1592181181,3,0
1592184782,3,2
1592188381,2,4
1592191982,3,5
1592195581,3,0
1592199182,0,4
1592202781,4,13
1592206381,4,3
1592209981,5,4
1592213581,3,0
1592217181,6,1
1592220782,3,1
1592224381,2,0
1592227982,2,9
1592231582,1,0
1592235181,3,3
1592238781,0,2
1592242381,6,7
1592245981,3,0
1592249582,4,7
1592253182,2,0
1592256781,3,5
1592260381,2,0
1592263982,3,8
1592267582,2,0
1592271181,4,2
1592274781,3,0
1592278381,3,2
1592281982,3,9
1592285581,4,1
1592289181,2,0
1592292782,4,3
1592296382,0,9
1592299981,6,4
1592303581,3,0
1592307182,4,0
1592310781,6,7
1592314382,6,0
1592317982,6,1
1592321581,4,4
1592325182,2,10
1592328781,6,0
1592332382,2,6
1592335981,2,0
1592339581,1,7
1592343182,4,0
1592346782,2,3
1592350382,7,0
1592353981,3,2
1592357582,3,7
1592361181,2,0
1592364782,4,8
1592368381,1,0
1592371981,3,3
1592375581,4,7
1592379182,9,2
1592382781,3,0
1592386382,3,5
1592389982,2,5
1592393582,2,4
1592397182,5,0
1592400782,5,5
1592404381,4,5
1592407981,7,8
1592411581,9,5
1592415181,3,0
1592418781,8,2
1592422382,3,1
1592425981,5,4
1592429581,3,7
1592433181,3,5
1592436781,4,0
1592440381,1,10
1592443981,4,0
1592447581,5,9
1592451181,3,0
1592454782,2,4
1592461981,6,1
1592465581,5,6
1592469182,1,9
1592472781,4,0
1592476382,3,2
1592479982,9,4
1592483581,9,7
1592487181,2,0
1592490782,6,3
1592494382,3,2
1592497982,8,6
1592501581,8,6
1592505182,7,4
1592508781,4,8
1592512382,4,8
1592515981,3,0
1592519582,3,2
1592523182,5,5
1592526782,3,2
1592530381,5,3
1592533982,4,4
1592537581,5,4
1592541181,2,4
1592544781,5,6
1592548381,5,0
1592551981,5,12
1592555581,2,0
1592559181,2,9
1592562781,5,0
1592566381,5,5
1592569982,5,0
1592573582,4,14
1592577181,5,0
1592580782,3,9
1592584381,9,6
1592587981,3,6
1592591581,2,0
1592595182,7,9
1592598782,3,0
1592602382,8,1
1592605981,1,2
1592609581,5,8
1592613181,1,7
1592616782,2,7
1592620381,2,7
1592623981,3,0
1592627582,7,8
1592631181,4,0
1592634781,2,3
1592638382,3,11
1592641982,7,7
1592645581,3,0
1592649182,5,5
1592652781,3,8
1592656381,2,6
1592659981,7,0
1592663582,8,5
1592667181,4,11
1592670782,3,6
1592674382,1,4
1592677982,4,7
1592681582,4,0
1592685182,3,4
1592688781,6,4
1592692381,6,11
1592695982,4,0
1592699582,1,2
1592703181,3,3
1592706781,2,5
1592710381,7,4
1592713981,4,3
1592717581,9,2
1592721181,1,0
1592724781,1,2
1592728382,3,5
1592731981,6,4
