DateTime,AddedIPs,RemovedIPs
1590874382,12,12
1590877982,13,14
1590881581,15,14
1590885182,10,11
1590888782,13,12
1590892381,12,12
1590895982,15,15
1590899581,19,13
1590903182,16,19
1590906782,18,19
1590913982,21,20
1590921182,18,20
1590924781,12,14
1590928382,14,8
1590931981,6,9
1590935582,9,11
1590939182,10,11
1590942782,12,11
1590946381,16,16
1590949982,19,18
1590953582,15,18
1590957182,9,7
1590960781,12,12
1590964382,13,11
1590967981,9,10
1590971582,15,14
1590975182,8,9
1590978781,13,15
1590982381,11,12
1590985981,15,15
1590989582,11,10
1590993181,19,19
1590996782,7,6
1591000382,16,17
1591003981,10,13
1591007581,15,12
1591011182,18,17
1591014782,12,12
1591021981,21,20
1591025582,17,16
1591029181,15,16
1591032781,18,18
1591036381,14,14
1591039981,15,16
1591043582,15,15
1591047181,14,9
1591050781,17,16
1591054381,6,4
1591057982,14,19
1591061581,15,12
1591065181,15,15
1591068781,17,17
1591072381,13,13
1591075981,15,16
1591079581,12,9
1591083182,21,21
1591090382,14,18
1591093982,18,19
1591108381,25,25
1591111981,19,19
1591115581,16,17
1591119181,19,19
1591122781,16,16
1591126382,18,18
1591129982,13,12
1591133581,21,19
1591137181,14,15
1591140781,19,16
1591144382,10,9
1591147981,15,17
1591155182,17,16
1591162381,16,19
1591165981,14,12
1591169581,19,20
1591176782,26,27
1591180381,20,19
1591183982,14,15
1591191182,21,25
1591194781,16,15
1591198382,8,8
1591201981,19,19
1591205581,9,10
1591209182,13,13
1591212781,19,19
1591216382,19,18
1591219982,11,12
1591223582,15,12
1591227182,12,10
1591230782,16,17
1591234382,10,8
1591237981,6,7
1591241582,11,12
1591245181,12,12
1591248781,17,16
1591252381,20,20
1591259581,20,24
1591263182,17,18
1591266782,12,9
1591270381,19,17
1591273982,20,20
1591277581,14,14
1591281182,13,14
1591284782,15,13
1591288381,13,13
1591291981,9,13
1591295582,11,13
1591299181,19,16
1591302782,24,21
1591306381,10,13
1591309982,13,13
1591313581,14,8
1591317181,12,17
1591320782,9,13
1591324382,15,14
1591327982,10,7
1591331582,16,17
1591335181,18,17
1591338781,10,15
1591342382,17,15
1591345981,16,17
1591349581,11,9
1591353181,16,15
1591356782,7,10
1591360382,15,13
1591363981,12,14
1591367581,14,14
1591371181,20,18
1591374781,18,17
1591378382,16,16
1591381982,17,20
1591385581,15,14
1591389181,15,14
1591392781,13,13
1591396382,21,20
1591399982,15,15
1591403581,12,14
1591407182,6,6
1591410782,14,12
1591414382,8,9
1591417981,16,13
1591421581,16,20
1591425182,16,16
1591428782,14,14
1591432381,20,16
1591435981,11,13
1591439581,7,9
1591443181,14,12
1591446781,17,15
1591450381,15,21
1591453982,13,13
1591457581,12,9
1591461182,16,12
1591464781,7,8
1591468381,17,18
1591471982,16,19
1591475581,11,12
1591479181,17,16
1591482781,11,10
1591486381,12,13
1591489981,18,15
1591493582,9,12
1591497181,14,11
1591500781,18,19
1591504381,15,15
1591507982,14,14
1591511581,15,14
1591515182,14,17
1591518781,15,13
1591522381,13,17
1591525984,11,10
1591529581,15,11
1591533181,16,18
1591536781,15,17
1591540381,18,15
1591543981,19,19
1591547581,16,17
1591551182,22,21
1591554781,9,11
1591558382,16,12
1591561981,13,14
1591565581,13,16
1591569182,13,13
1591572782,15,12
1591576381,22,21
1591579981,13,12
1591583581,13,13
1591587181,11,13
1591590781,16,17
1591594381,13,16
1591597981,11,11
1591601581,14,13
1591605181,17,17
1591608781,16,14
1591615982,16,17
1591619581,19,17
1591623182,8,8
1591626781,9,12
1591630382,18,20
1591633982,18,13
1591637581,15,17
1591641182,14,14
1591644783,15,14
1591648382,13,16
1591651981,10,8
1591655581,14,12
1591659182,16,16
1591662781,14,16
1591666381,15,14
1591669981,16,15
1591673581,19,20
1591677181,13,13
1591680782,21,19
1591684381,13,13
1591687981,14,14
1591691581,16,16
1591695182,13,16
1591698781,11,13
1591702382,13,13
1591705981,10,10
1591709581,10,10
1591713181,12,11
1591716781,11,13
1591720381,12,10
1591723982,17,18
1591727581,14,13
1591731181,17,16
1591734781,14,15
1591738382,16,17
1591741981,18,18
1591745581,13,11
1591749181,13,11
1591752782,14,14
1591756381,8,7
1591759982,12,16
1591763581,9,9
1591767182,19,18
1591770782,10,9
1591774382,19,17
1591777982,14,13
1591785181,18,21
1591788782,16,18
1591792381,12,11
1591795982,9,12
1591803182,17,15
1591806781,18,15
1591810381,14,19
1591813982,18,16
1591817581,12,12
1591821182,20,17
1591824781,10,10
1591828382,14,13
1591831981,8,10
1591835582,10,11
1591839182,14,12
1591842781,12,12
1591846381,9,9
1591849981,12,11
1591853582,14,12
1591857182,10,11
1591860781,12,16
1591864381,17,18
1591867981,20,18
1591871582,14,14
1591875181,12,15
1591878782,20,19
1591882382,24,21
1591885981,11,14
1591889581,10,6
1591893182,14,14
1591896781,12,14
1591900382,16,15
1591903981,17,17
1591907581,12,12
1591911181,21,19
1591914782,14,13
1591918381,14,14
1591921981,12,14
1591925581,15,16
1591929182,13,14
1591932781,14,16
1591936381,11,13
1591939981,10,7
1591943581,11,12
1591947182,17,11
1591950782,13,17
1591954382,15,15
1591957981,11,12
1591961581,20,19
1591965182,13,12
1591968782,15,16
1591972381,14,15
1591975982,21,19
1591979581,13,13
1591983182,18,21
1591986781,11,9
1591990381,12,12
1591993981,18,16
1591997582,14,14
1592001181,12,14
1592004781,12,11
1592008381,13,14
1592011982,14,11
1592015581,9,12
1592019181,15,14
1592022782,12,12
1592026381,9,10
1592029981,18,17
1592033581,19,19
1592037182,12,12
1592044381,17,19
1592047981,17,17
1592051583,14,14
1592055181,13,14
1592058781,15,12
1592062381,11,11
1592065982,11,14
1592069581,13,9
1592073181,12,12
1592076781,16,15
1592080382,14,17
1592083981,10,9
1592087582,9,9
1592091181,15,13
1592094782,9,10
1592098381,12,12
1592101981,13,12
1592105581,12,16
1592109182,18,17
1592112782,15,15
1592116382,20,25
1592119981,18,11
1592123582,13,14
1592127182,14,18
1592130782,14,11
1592134382,16,18
1592137981,13,13
1592141582,10,7
1592145181,12,16
1592148782,15,10
1592152381,16,20
1592155981,14,15
1592159582,15,11
1592163181,13,17
1592166781,15,12
1592170381,13,12
1592173981,20,17
1592177581,16,17
1592181181,11,13
1592184782,10,10
1592188381,13,10
1592191982,13,11
1592195581,9,16
1592199182,11,12
1592202781,17,13
1592206381,14,15
1592209981,16,17
1592213581,16,16
1592217181,18,20
1592220782,11,12
1592224381,10,8
1592227982,18,19
1592231582,13,13
1592235181,10,12
1592238781,14,12
1592242381,21,20
1592245981,18,16
1592249582,10,11
1592253182,13,10
1592256781,18,21
1592260381,13,13
1592263982,14,15
1592267582,13,13
1592271181,14,14
1592274781,16,17
1592278381,21,17
1592281982,10,12
1592285581,10,13
1592289181,9,10
1592292782,18,17
1592296382,13,13
1592299981,17,17
1592303581,16,15
1592307182,15,14
1592310781,16,15
1592314382,18,21
1592317982,15,15
1592321581,15,18
1592325182,13,10
1592328781,14,16
1592332382,15,12
1592335981,9,10
1592339581,16,15
1592343182,16,17
1592346782,15,14
1592350382,20,18
1592353981,17,16
1592357582,18,17
1592361181,12,16
1592364782,12,10
1592368381,13,13
1592371981,9,9
1592375581,15,16
1592379182,17,14
1592382781,19,20
1592386382,11,14
1592389982,18,16
1592393582,15,17
1592397182,12,12
1592400782,21,18
1592404381,11,15
1592407981,16,13
1592411581,18,19
1592415181,16,17
1592418781,20,20
1592422382,18,18
1592425981,14,15
1592429581,15,15
1592433181,7,5
1592436781,14,14
1592440381,8,10
1592443981,17,15
1592447581,17,16
1592451181,15,16
1592454782,23,20
1592461981,18,20
1592465581,19,22
1592469182,11,11
1592472781,21,18
1592476382,15,19
1592479982,15,15
1592483581,18,16
1592487181,9,11
1592490782,15,15
1592494382,12,12
1592497982,18,18
1592501581,15,14
1592505182,23,22
1592508781,16,16
1592512382,21,19
1592515981,14,14
1592519582,15,17
1592523182,18,17
1592526782,13,13
1592530381,20,18
1592533982,17,16
1592537581,16,15
1592541181,10,15
1592544781,17,17
1592548381,15,12
1592551981,17,17
1592555581,18,20
1592559181,20,19
1592562781,16,18
1592566381,18,14
1592569982,19,22
1592573582,15,19
1592577181,16,12
1592580782,14,12
1592584381,24,25
1592587981,14,15
1592591581,14,16
1592595182,19,14
1592598782,12,14
1592602382,17,16
1592605981,13,15
1592609581,13,15
1592613181,13,14
1592616782,17,12
1592620381,11,15
1592623981,11,11
1592627582,20,15
1592631181,14,18
1592634781,7,7
1592638382,14,14
1592641982,17,15
1592645581,14,18
1592649182,17,15
1592652781,16,14
1592656381,13,16
1592659981,12,15
1592663582,17,15
1592667181,23,22
1592670782,22,19
1592674382,5,5
1592677982,17,18
1592681582,13,17
1592685182,12,10
1592688781,17,18
1592692381,17,13
1592695982,15,16
1592699582,11,9
1592703181,17,18
1592706781,13,16
1592710381,19,19
1592713981,15,14
1592717581,19,21
1592721181,17,17
1592724781,12,13
1592728382,15,15
1592731981,14,15
